,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.15,0.44,0.17,0.48,0.17,0.5,0.43,0.62,0.3,0.42,0.51,0.26,0.05,0.24,0.34,0.43
chipster.csv,0.0,0.21,0.6,0.41,0.44,0.58,0.58,0.45,0.66,0.1,0.45,0.16,0.16,0.31,0.71,0.0
delphilhlplib.csv,0.57,0.49,0.42,0.76,0.3,0.57,0.25,0.36,0.27,0.63,0.41,0.51,0.32,0.6,0.55,0.0
emite.csv,0.32,0.54,0.56,0.77,0.28,0.1,0.49,0.54,0.54,0.17,0.35,0.68,0.34,0.56,0.58,0.0
hydrate.csv,0.19,0.41,0.5,0.61,0.35,0.6,0.49,0.58,0.7,0.1,0.33,0.3,0.16,0.54,0.62,0.43
ivataopenportal.csv,0.53,0.37,0.13,0.65,0.72,0.33,0.37,0.44,0.5,0.65,0.58,0.53,0.42,0.59,0.54,0.13
jppf-project.csv,0.61,0.43,0.59,0.43,0.36,0.55,0.76,0.51,0.47,0.53,0.39,0.58,0.43,0.48,0.49,0.76
kolmafia.csv,0.26,0.17,0.44,0.46,0.09,0.0,0.39,0.47,0.71,0.47,0.21,0.51,0.67,0.33,0.67,0.3
l2j.csv,0.53,0.36,0.58,0.0,0.28,0.52,0.47,0.59,0.59,0.43,0.49,0.54,0.71,0.56,0.34,0.0
mb-unit.csv,0.27,0.65,0.55,0.0,0.05,0.46,0.0,0.47,0.0,0.35,0.44,0.27,0.59,0.72,0.2,0.0
opde.csv,0.6,0.53,0.59,0.0,0.44,0.4,0.44,0.55,0.46,0.57,0.44,0.46,0.39,0.66,0.7,0.0
pamguard.csv,0.35,0.46,0.54,0.24,0.51,0.68,0.43,0.58,0.43,0.09,0.0,0.46,0.35,0.56,0.34,0.64
quark.csv,0.15,0.16,0.11,0.18,0.05,0.09,0.0,0.06,0.02,0.83,0.11,0.33,0.13,0.31,0.07,0.0
stajistics.csv,0.48,0.49,0.68,0.0,0.44,0.13,0.0,0.0,0.0,0.27,0.52,0.3,0.49,0.6,0.0,0.05
tigermud.csv,0.32,0.36,0.37,0.18,0.17,0.29,0.47,0.31,0.59,0.18,0.68,0.48,0.17,0.58,0.66,0.8
