,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.33,0.39,0.87,0.09,0.54,0.43,0.47,0.22,0.42,0.8,0.36,0.55
miranda-icq.csv,0.3,0.48,0.73,0.11,0.43,0.17,0.54,0.06,0.49,0.81,0.41,0.51
pclasses.csv,0.5,0.48,0.0,0.0,0.16,0.0,0.12,0.08,0.0,0.44,0.35,0.52
pfaedit.csv,0.0,0.57,0.38,0.2,0.79,0.0,0.68,0.26,0.03,0.73,0.38,0.34
rockbox.csv,0.33,0.6,0.05,0.23,0.76,0.26,0.6,0.32,0.37,0.68,0.45,0.68
theresa.csv,0.0,0.56,0.52,0.35,0.73,0.0,0.61,0.22,0.3,0.73,0.37,0.52
thrust.csv,0.0,0.06,0.09,0.0,0.31,0.49,0.2,0.09,0.11,0.15,0.16,0.22
tktoolkit.csv,0.0,0.35,0.17,0.0,0.65,0.45,0.43,0.42,0.17,0.54,0.21,0.59
trinitycore.csv,0.3,0.44,0.05,0.19,0.19,0.34,0.65,0.17,0.3,0.65,0.45,0.36
tzod.csv,0.14,0.57,0.68,0.33,0.71,0.14,0.49,0.2,0.35,0.78,0.37,0.29
yaprm.csv,0.22,0.45,0.0,0.25,0.44,0.28,0.68,0.26,0.14,0.73,0.35,0.29
