,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.45,0.06,0.38,0.58,0.26,0.49,0.62,0.66,0.46,0.75,0.53,0.36,0.51,0.46,0.82,0.45,0.4,0.57
bscwweasel.csv,0.37,0.01,0.48,0.19,0.19,0.4,0.27,0.36,0.62,0.5,0.53,0.13,0.03,0.68,0.3,0.11,0.07,0.24
capcode.csv,0.81,0.01,0.67,0.23,0.71,0.31,0.27,0.43,0.33,0.75,0.47,0.82,0.37,0.52,0.6,0.2,0.53,0.32
dspace-gsoc.csv,0.27,0.97,0.76,0.35,0.58,0.91,1.0,0.91,0.77,0.81,0.32,0.88,0.69,0.66,0.95,0.76,0.4,0.92
emite.csv,0.19,0.57,0.05,0.06,0.24,0.27,0.17,0.54,0.13,0.31,0.42,0.05,0.11,0.13,0.38,0.14,0.13,0.37
fbmanager.csv,0.1,0.27,0.14,0.16,0.09,0.27,0.45,0.04,0.23,0.19,0.47,0.4,0.08,0.31,0.05,0.01,0.33,0.11
freenet.csv,0.84,0.46,1.0,0.87,0.95,0.6,0.92,0.38,0.87,0.62,0.84,0.94,0.63,0.96,0.75,0.81,0.8,0.77
geogebra.csv,0.3,0.0,0.19,0.32,0.22,0.58,0.42,0.62,0.87,0.56,0.53,0.58,0.13,0.39,0.12,0.22,0.47,0.43
megameknet.csv,0.25,0.96,0.38,0.61,0.26,0.76,0.82,0.48,0.77,0.25,0.68,0.64,0.28,0.66,0.15,0.61,0.33,0.38
ondex.csv,0.27,0.0,0.14,0.06,0.61,0.38,0.27,0.32,0.44,0.44,0.37,0.79,0.08,0.28,0.38,0.17,0.27,0.63
onotoa.csv,0.67,0.07,0.19,0.06,0.92,0.69,0.34,0.42,0.67,0.5,0.37,0.84,0.28,0.38,0.25,0.16,0.4,0.86
paintown.csv,0.19,1.0,0.57,0.77,0.99,0.91,1.0,0.64,0.51,0.81,0.63,0.9,0.95,0.93,0.78,0.92,0.73,0.98
powerfolder.csv,0.15,0.76,0.1,0.39,0.54,0.51,0.56,0.18,0.28,0.5,0.16,0.09,0.61,0.12,0.08,0.26,0.13,0.13
retromenu.csv,0.0,0.02,0.1,0.1,0.13,0.2,0.41,0.17,0.33,0.06,0.0,0.03,0.04,0.17,0.15,0.23,0.27,0.15
smbopensoft.csv,0.9,0.21,0.86,0.42,0.56,0.73,0.35,0.86,0.59,0.69,0.68,0.79,0.54,0.82,0.65,0.63,0.93,0.52
triplea.csv,0.3,0.82,0.33,0.26,0.9,0.87,0.69,0.86,0.36,0.56,0.37,0.79,0.31,0.56,0.68,0.41,0.53,0.76
tweetsharp.csv,0.62,0.84,0.62,0.03,0.61,0.56,0.17,0.63,0.67,0.88,0.47,0.73,0.7,0.63,0.78,0.61,0.33,0.8
xamj.csv,0.4,0.16,0.19,0.48,0.55,0.73,0.75,0.88,0.49,0.75,0.37,0.55,0.85,0.19,0.55,0.28,0.67,0.22
