,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.19,0.92,0.8,0.76,0.55,0.62,0.12,0.57,0.2,0.78,0.9,0.52,0.46,1.0,0.22,0.43,0.82,1.0,0.44
autofac.csv,0.51,0.69,0.04,0.72,0.28,0.41,0.76,0.68,0.2,0.74,0.41,0.55,0.21,1.0,0.54,0.57,0.47,0.52,0.56
avisynth2.csv,0.2,0.23,0.2,0.14,0.0,0.04,0.12,0.03,0.1,0.05,0.1,0.12,0.0,1.0,0.2,0.0,0.47,0.0,0.06
dsworkbench.csv,0.34,0.77,0.76,0.28,0.18,0.19,0.18,0.24,0.5,0.17,0.28,0.25,0.0,0.0,0.28,0.43,0.18,0.27,0.29
exist.csv,0.51,1.0,0.8,0.93,0.55,0.78,0.65,1.0,0.5,0.79,1.0,0.88,0.47,1.0,0.25,0.57,1.0,0.83,0.84
forester-atv.csv,0.26,0.81,0.5,0.17,0.0,0.13,0.18,0.05,0.65,0.16,0.08,0.37,0.0,0.0,0.48,0.29,0.29,0.08,0.26
freelords.csv,0.85,0.88,0.8,0.72,0.47,0.67,0.76,0.76,0.95,0.9,0.79,0.27,0.81,0.67,0.7,0.43,0.53,0.61,0.58
gephex.csv,0.18,0.35,1.0,0.97,0.95,0.7,0.71,0.81,0.35,0.6,0.72,0.87,0.98,0.0,0.54,0.71,0.82,0.73,0.55
google-collections.csv,0.82,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.95,0.99,1.0,0.97,1.0,1.0,0.99,1.0,1.0,1.0,1.0
java-gnome.csv,0.06,0.54,0.72,0.48,0.42,0.33,0.29,0.35,0.15,0.34,0.33,0.7,0.77,0.0,0.23,0.43,0.35,0.31,0.26
jpaul.csv,0.26,0.65,0.2,0.21,0.0,0.08,0.88,0.19,0.3,0.05,0.18,0.1,0.0,0.33,0.29,0.43,0.18,0.0,0.15
neodatis-odb.csv,0.75,0.81,0.3,0.55,0.22,0.28,0.65,0.7,0.3,0.33,0.59,0.45,0.0,1.0,0.55,0.57,0.06,0.48,0.8
octet.csv,0.71,0.5,0.42,0.83,0.32,0.34,0.47,0.49,0.4,0.96,0.72,0.52,0.19,1.0,0.87,0.86,0.29,0.63,0.8
personalaccess.csv,0.22,0.81,0.56,0.55,0.12,0.14,0.65,0.27,0.5,0.29,0.59,0.58,0.0,0.33,0.79,0.57,0.29,0.15,0.39
pokenetonline.csv,0.57,0.96,1.0,0.9,0.98,0.77,0.65,0.89,0.75,1.0,0.92,0.73,0.23,1.0,1.0,0.86,1.0,0.99,0.82
rcp-company-uibindings.csv,0.75,0.77,0.82,0.48,0.35,0.56,0.65,0.46,0.35,0.31,0.62,0.27,0.18,0.67,0.5,0.29,0.41,0.54,0.86
scenemonitor.csv,0.22,0.65,0.66,0.48,0.3,0.41,0.47,0.35,0.7,0.21,0.69,0.2,0.09,0.0,0.4,0.29,0.35,0.3,0.41
servicestack.csv,0.12,0.46,0.2,0.34,0.0,0.05,0.0,0.14,0.05,0.52,0.36,0.15,0.0,0.33,0.2,0.14,0.65,0.0,0.03
st-filteredstatistics.csv,0.38,0.46,0.5,0.72,0.77,0.89,0.76,0.65,0.75,0.82,0.74,0.6,1.0,0.67,0.64,0.71,0.47,0.37,0.63
