,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.49,0.42,0.39,0.72,0.47,0.41,0.59,0.35,0.52,0.65,0.68,0.13,0.56,0.47,0.56
encog-cs.csv,0.77,0.44,0.51,0.58,0.39,0.59,0.58,0.45,0.47,0.31,0.74,0.4,0.25,0.55,0.19
extprosys.csv,0.0,0.41,0.27,0.5,0.53,0.56,0.25,0.37,0.15,0.46,0.3,0.56,0.54,0.63,0.47
ibatisdb.csv,0.0,0.12,0.2,0.12,0.49,0.31,0.18,0.19,0.45,0.45,0.3,0.06,0.06,0.68,0.42
intact.csv,0.0,0.57,0.07,0.51,0.36,0.38,0.04,0.12,0.24,0.57,0.36,0.18,0.31,0.13,0.06
japano.csv,0.0,0.0,0.17,0.0,0.17,0.13,0.0,0.58,0.17,0.21,0.05,0.13,0.0,0.42,0.13
lockss.csv,0.0,0.26,0.02,0.01,0.05,0.0,0.25,0.21,0.17,0.17,0.44,0.12,0.15,0.2,0.06
ofbiz.csv,0.0,0.42,0.24,0.45,0.53,0.6,0.53,0.49,0.55,0.4,0.67,0.29,0.74,0.45,0.51
officefloor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.06
opennms.csv,0.0,0.23,0.02,0.09,0.29,0.09,0.48,0.02,0.07,0.37,0.04,0.39,0.17,0.04,0.0
rohxel.csv,0.74,0.7,0.05,0.45,0.33,0.47,0.74,0.67,0.54,0.53,0.57,0.43,0.28,0.74,0.13
roolo.csv,0.0,0.49,0.57,0.53,0.57,0.52,0.24,0.27,0.13,0.33,0.35,0.68,0.44,0.16,0.55
sevenupdate.csv,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.09,0.35,0.0,0.0,0.05,0.0,0.0
web-cat.csv,0.73,0.51,0.53,0.57,0.47,0.67,0.31,0.42,0.13,0.56,0.52,0.48,0.65,0.69,0.77
