,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.22,0.13,0.08,0.98,0.2,0.1,0.18
flexpay.csv,0.16,0.28,0.93,0.22,0.27,0.28,0.38
modellus.csv,0.22,0.69,0.28,0.34,0.53,0.99,0.57
open-data-kit.csv,0.31,0.71,0.25,0.48,0.44,0.59,0.99
phet.csv,0.98,0.16,0.22,0.22,0.1,0.36,0.54
qtractor.csv,0.09,0.98,0.21,0.37,0.32,0.35,0.34
sumatrapdf.csv,0.28,0.74,0.3,0.49,1.0,0.71,0.7
