,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.17,0.07,0.06,0.95,0.13,0.06,0.11
flexpay.csv,0.14,0.21,0.87,0.19,0.32,0.24,0.29
modellus.csv,0.25,0.61,0.42,0.29,0.48,0.98,0.47
open-data-kit.csv,0.51,0.71,0.6,0.57,0.58,0.6,1.0
phet.csv,0.96,0.11,0.44,0.19,0.06,0.35,0.45
qtractor.csv,0.07,0.96,0.19,0.33,0.19,0.22,0.21
sumatrapdf.csv,0.55,0.93,0.82,0.76,1.0,0.81,0.72
