,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.06,0.05,0.11,0.1,0.31,0.61,0.0,0.04,0.8,0.5,0.06,0.06,0.8
badtrinity-zero.csv,0.76,0.37,0.68,0.84,0.27,0.52,0.89,0.82,0.52,0.25,0.69,0.74,0.6
betoffice.csv,0.94,0.89,0.92,0.67,0.64,0.35,0.58,0.45,0.76,0.75,0.86,0.84,0.6
exordium.csv,0.47,0.11,0.37,0.32,0.29,0.7,0.89,0.63,0.44,0.75,0.29,0.71,1.0
fltk.csv,0.71,0.26,0.43,0.71,0.31,0.78,0.74,0.63,0.8,0.88,0.57,0.13,1.0
gabel.csv,0.24,0.11,0.2,0.37,0.09,0.57,0.74,0.43,0.2,0.62,0.35,0.16,0.6
genoviz.csv,0.18,0.0,0.19,0.1,0.02,0.35,0.21,0.14,0.2,0.25,0.12,0.0,1.0
irrlicht.csv,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.97,1.0
nug.csv,0.82,0.68,0.46,0.51,1.0,0.78,0.58,0.24,0.96,1.0,0.75,0.97,1.0
rezilla.csv,0.88,0.74,0.81,0.36,0.44,0.17,0.32,0.75,0.24,0.12,0.43,0.39,0.2
toped.csv,0.59,0.89,0.62,0.65,0.38,0.83,0.74,0.8,0.64,0.75,0.66,0.26,1.0
xmemcached.csv,0.71,1.0,0.73,0.66,0.64,0.74,0.89,0.51,0.76,0.88,0.7,0.9,0.8
zoolib.csv,0.47,0.16,0.34,0.43,0.36,0.74,0.79,0.59,0.84,0.62,0.44,0.68,0.6
