,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.11,0.1,0.17,0.17,0.39,0.51,0.0,0.08,0.66,0.18,0.12,0.06,0.24
badtrinity-zero.csv,0.41,0.38,0.67,0.71,0.32,0.37,0.42,0.87,0.33,0.13,0.74,0.17,0.15
betoffice.csv,0.49,0.46,0.64,0.59,0.59,0.24,0.29,0.57,0.47,0.14,0.81,0.15,0.12
exordium.csv,0.5,0.17,0.46,0.46,0.38,0.53,0.68,0.74,0.42,0.31,0.44,0.26,0.33
fltk.csv,0.48,0.28,0.54,0.73,0.38,0.4,0.52,0.75,0.42,0.18,0.67,0.17,0.29
gabel.csv,0.32,0.17,0.3,0.5,0.15,0.57,0.58,0.59,0.29,0.31,0.5,0.22,0.26
genoviz.csv,0.25,0.0,0.31,0.17,0.04,0.47,0.35,0.24,0.22,0.17,0.2,0.0,0.67
irrlicht.csv,0.49,0.49,0.0,0.73,0.67,0.42,0.4,0.92,0.46,0.15,0.77,0.16,0.18
nug.csv,0.72,0.38,0.43,0.56,0.68,0.43,0.35,0.35,0.47,0.15,0.76,0.16,0.19
rezilla.csv,0.46,0.65,0.63,0.4,0.46,0.19,0.23,0.78,0.24,0.1,0.55,0.09,0.06
toped.csv,0.42,0.46,0.57,0.58,0.45,0.38,0.39,0.89,0.37,0.14,0.71,0.12,0.23
xmemcached.csv,0.52,0.49,0.54,0.61,0.59,0.64,0.38,0.62,0.49,0.14,0.73,0.18,0.23
zoolib.csv,0.43,0.21,0.44,0.56,0.39,0.44,0.53,0.71,0.47,0.29,0.57,0.35,0.21
