,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,3.0,5.0,46.0,13.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0
buddata-ebxml-registry.csv,104.0,3.0,58.0,80.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,44.0,1.0,0.0,0.0
cornerstone.csv,38.0,21.0,6.0,9.0,0.0,2.0,3.0,5.0,1.0,3.0,0.0,6.0,0.0,2.0,0.0,2.0,37.0,0.0,0.0,1.0
emeraldemu.csv,64.0,3.0,25.0,18.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
jahshakafx.csv,0.0,4.0,8.0,3.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,12.0,0.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0
jaolt.csv,6.0,2.0,11.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,22.0,0.0,0.0,5.0,0.0,15.0,1.0,0.0,0.0
kmess.csv,57.0,2.0,30.0,38.0,0.0,0.0,4.0,4.0,5.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,11.0,1.0,0.0,2.0
maya-work-in-progress.csv,16.0,2.0,54.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
mia.csv,4.0,1.0,12.0,5.0,0.0,0.0,54.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,97.0,1.0,5.0,32.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0
novembre.csv,4.0,0.0,25.0,15.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0
ns-3.csv,8.0,2.0,39.0,10.0,0.0,0.0,3.0,1.0,2.0,4.0,2.0,21.0,0.0,6.0,0.0,0.0,20.0,2.0,0.0,0.0
nullc.csv,90.0,3.0,54.0,80.0,0.0,0.0,6.0,3.0,8.0,0.0,0.0,8.0,2.0,4.0,3.0,0.0,34.0,1.0,0.0,1.0
open-beos.csv,57.0,0.0,54.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
pixel-commandos.csv,2.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,339.0,78.0,0.0,195.0,101.0,148.0,2.0,0.0,0.0,1.0,0.0,72.0
plee-the-bear.csv,60.0,2.0,0.0,189.0,0.0,1.0,4.0,19.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.0,0.0,0.0,0.0
reaper-ecad.csv,65.0,3.0,122.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0,4.0,0.0,0.0
unladen-swallow.csv,36.0,0.0,21.0,2.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,94.0,1.0,0.0,0.0
xmoto.csv,4.0,0.0,33.0,5.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0
zxing.csv,5.0,145.0,70.0,22.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,5.0,1.0,29.0,1.0,0.0,0.0
