,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.42,0.43,0.56,0.8,0.5,0.68,0.55,0.56,0.65,0.91,0.56,0.57,0.45,0.48,0.46,0.55,0.79,0.58,0.73,0.86
buddata-ebxml-registry.csv,0.48,0.48,0.4,0.53,0.44,0.4,0.35,0.35,0.4,0.46,0.32,0.4,0.35,0.35,0.36,0.41,0.43,0.44,0.34,0.36
cornerstone.csv,0.51,0.49,0.45,0.56,0.5,0.5,0.43,0.43,0.66,0.57,0.47,0.42,0.39,0.35,0.44,0.48,0.48,0.53,0.55,0.38
emeraldemu.csv,0.63,0.62,0.67,0.59,0.47,0.55,0.61,0.62,0.84,0.78,0.4,0.62,0.58,0.51,0.45,0.57,0.56,0.61,0.55,0.42
jahshakafx.csv,0.5,0.88,0.84,0.89,0.44,0.81,0.57,0.66,0.87,0.83,0.83,0.83,0.93,0.71,0.57,0.95,0.72,0.62,0.9,0.57
jaolt.csv,0.37,0.39,0.43,0.42,0.52,0.42,0.31,0.37,0.37,0.44,0.57,0.37,0.4,0.36,0.36,0.36,0.42,0.4,0.45,0.35
kmess.csv,0.74,0.56,0.58,0.78,0.54,0.84,0.48,0.58,0.62,0.67,0.7,0.57,0.64,0.54,0.53,0.51,0.7,0.57,0.9,0.88
maya-work-in-progress.csv,0.38,0.58,0.42,0.42,0.46,0.44,0.36,0.48,0.47,0.48,0.4,0.41,0.56,0.44,0.36,0.35,0.37,0.42,0.43,0.36
mia.csv,0.97,1.0,0.98,0.95,0.67,0.98,0.67,0.99,0.95,0.92,0.5,0.94,0.75,0.97,0.96,0.94,0.83,0.0,0.92,0.53
mp-rechnungs-und-kundenverwaltung.csv,0.7,0.93,0.99,0.97,0.86,0.82,0.65,0.98,0.98,0.5,0.93,0.96,0.88,0.69,0.73,0.77,0.87,0.77,0.83,0.86
novembre.csv,0.67,0.83,0.72,0.68,0.7,0.95,0.67,0.85,0.97,0.73,0.62,0.95,0.94,0.85,0.51,0.55,0.67,0.65,0.88,0.92
ns-3.csv,0.41,0.59,0.55,0.56,0.4,0.49,0.39,0.46,0.46,0.73,0.49,0.46,0.44,0.44,0.4,0.4,0.46,0.47,0.55,0.4
nullc.csv,0.58,0.64,0.51,0.61,0.46,0.44,0.37,0.48,0.48,0.62,0.49,0.45,0.39,0.36,0.48,0.55,0.55,0.48,0.63,0.46
open-beos.csv,0.5,0.49,0.52,0.49,0.56,0.53,0.46,0.5,0.59,0.46,0.34,0.54,0.48,0.48,0.37,0.48,0.46,0.5,0.44,0.4
pixel-commandos.csv,0.96,0.99,0.95,0.9,0.88,0.67,0.0,0.93,0.0,0.0,0.83,0.0,0.0,0.0,0.91,0.83,0.75,0.8,0.5,0.0
plee-the-bear.csv,0.99,1.0,0.96,0.67,0.93,0.95,0.83,0.98,0.99,0.8,0.77,0.0,0.85,0.6,0.94,0.98,0.96,0.82,0.93,0.57
reaper-ecad.csv,0.57,0.95,0.67,0.95,0.55,0.58,0.58,0.77,0.92,0.62,0.57,0.62,0.89,0.98,0.57,0.57,0.67,0.75,0.59,0.67
unladen-swallow.csv,0.89,1.0,0.98,0.88,0.88,0.78,0.78,0.98,0.98,0.86,0.45,0.72,0.96,0.66,0.88,0.77,0.88,0.73,0.56,0.47
xmoto.csv,0.42,0.59,0.58,0.63,0.5,0.57,0.45,0.52,0.5,0.85,0.38,0.62,0.43,0.48,0.39,0.48,0.53,0.54,0.77,0.68
zxing.csv,0.43,0.7,0.48,0.59,0.52,0.48,0.43,0.58,0.59,0.57,0.69,0.47,0.92,0.89,0.4,0.35,0.43,0.47,0.71,0.4
