,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.33,0.83,0.88,0.79,0.51,0.37,0.55,0.71,0.55,0.88,0.66,1.0,0.64,0.58,0.48,0.15,0.87
biopax.csv,0.58,1.0,0.96,1.0,0.76,0.59,0.89,0.68,0.84,0.99,0.99,0.33,0.57,0.86,0.98,0.05,0.9
ffigo.csv,0.04,0.11,0.0,0.54,0.05,0.0,0.0,0.0,0.09,0.09,0.08,0.0,0.32,0.0,0.52,0.25,0.0
freebios.csv,0.78,0.4,0.24,0.28,0.47,0.47,0.72,0.42,0.34,0.11,0.46,0.33,0.68,0.42,0.65,0.8,0.16
glelite.csv,0.96,0.96,0.92,0.72,0.97,0.89,0.98,0.98,0.76,0.95,0.98,0.0,0.95,0.99,0.78,0.65,0.97
gnupdate.csv,0.47,0.58,0.8,0.88,0.21,0.56,0.53,0.4,0.59,0.34,0.52,0.67,0.55,0.25,0.35,0.7,0.9
go.csv,0.29,0.6,0.45,0.7,0.38,0.69,0.34,0.65,0.6,0.27,0.26,0.33,0.36,0.41,0.59,0.25,0.65
gstreamer.csv,0.62,0.78,0.8,0.9,0.55,0.82,0.57,0.75,0.35,0.52,0.79,0.67,0.8,0.28,0.52,0.65,1.0
metacosm.csv,0.09,0.5,0.2,0.3,0.08,0.1,0.09,0.19,0.24,0.33,0.14,0.67,0.18,0.07,0.26,0.15,0.23
pcsx2.csv,0.47,0.54,0.8,0.42,0.74,0.36,0.55,0.96,0.38,0.81,0.31,0.0,0.0,0.51,0.63,0.1,0.65
pgui.csv,0.0,0.0,0.02,0.88,0.79,0.0,0.45,0.3,0.0,0.05,0.19,1.0,0.0,0.0,0.52,1.0,1.0
qse.csv,0.0,0.36,0.04,0.64,0.01,0.03,0.15,0.04,0.18,0.42,0.44,0.0,0.02,0.01,0.26,0.05,0.52
rebecca-aiml.csv,0.73,0.49,0.1,0.31,0.56,0.71,0.47,0.26,0.52,0.14,0.27,0.0,0.25,0.45,0.8,0.45,0.23
skia.csv,0.51,0.46,0.31,0.66,0.48,0.62,0.36,0.54,0.42,0.1,0.74,0.33,0.5,0.54,0.26,0.65,0.35
vars-redux.csv,0.4,0.69,0.51,0.31,0.79,0.42,0.7,0.89,0.65,1.0,0.82,1.0,0.3,0.8,0.91,0.0,0.32
wxjs.csv,0.0,0.05,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.08,0.19,0.0,0.0,0.01,0.11,0.2,0.0
yale.csv,1.0,0.26,0.53,0.4,1.0,0.98,0.77,0.41,0.9,0.77,0.27,1.0,0.57,0.52,0.89,0.55,0.19
