,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.21,0.41,0.8,0.72,0.64,0.27,0.19,0.21,0.46,0.32,0.45,0.62,0.32
cuberok.csv,0.11,0.59,0.8,0.1,0.68,0.29,0.3,0.36,0.71,0.43,0.67,0.79,0.63
exist.csv,1.0,0.46,0.8,0.67,0.77,0.62,0.67,0.96,0.79,0.79,0.73,0.96,0.95
google-web-toolkit.csv,1.0,0.83,0.6,0.18,0.5,0.51,0.31,0.46,0.71,0.32,0.69,0.12,0.68
gwanted.csv,0.74,0.47,0.6,0.54,0.5,0.34,0.36,0.68,0.42,0.29,0.75,0.29,0.53
ivatamasks.csv,0.95,0.69,0.8,0.59,1.0,0.83,0.67,0.75,0.76,0.93,0.66,1.0,0.53
ivataopenportal.csv,0.89,0.77,1.0,0.95,1.0,0.74,0.81,0.79,0.94,1.0,0.78,1.0,1.0
jaxen.csv,0.89,0.37,1.0,0.97,0.82,0.87,0.67,0.93,0.74,0.68,0.75,0.75,0.53
rockbox.csv,0.53,0.23,0.8,0.1,0.5,0.12,0.1,0.54,0.12,0.5,0.32,0.58,0.79
rodin-b-sharp.csv,0.53,0.28,0.0,0.97,0.32,0.1,0.83,0.46,0.41,0.39,0.16,0.29,0.42
tcl.csv,0.11,0.71,0.2,0.74,0.5,0.98,0.77,0.71,0.21,0.39,0.23,0.21,0.21
umber.csv,0.89,0.89,0.8,1.0,0.64,0.42,0.95,0.71,0.87,0.93,0.67,0.96,0.95
wheat.csv,0.42,0.18,0.2,0.0,0.5,0.27,0.53,0.18,0.86,0.71,0.48,0.54,0.84
