,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.43,0.54,0.68,0.77,0.5,0.64,0.88,0.68,0.67,0.43,0.5,0.86,0.64
grafx2.csv,0.41,0.4,0.48,0.56,0.5,0.52,0.57,0.5,0.41,0.41,0.47,0.44,0.52
jahshakafx.csv,0.51,0.61,0.71,0.78,0.8,0.67,0.83,0.94,0.77,0.5,0.72,0.5,0.6
kftpgrabber.csv,0.62,0.49,0.73,0.69,0.5,0.56,0.8,0.55,0.39,0.32,0.55,0.47,0.61
kindb.csv,0.34,0.37,0.45,0.42,0.44,0.37,0.42,0.4,0.35,0.38,0.36,0.45,0.38
maya-work-in-progress.csv,0.48,0.58,0.4,0.46,0.51,0.38,0.5,0.43,0.56,0.31,0.38,0.45,0.47
netatalk.csv,0.47,0.51,0.74,0.55,0.67,0.53,0.88,0.7,0.49,0.44,0.5,0.71,0.58
nullc.csv,0.53,0.48,0.41,0.53,0.46,0.41,0.52,0.44,0.46,0.44,0.43,0.41,0.46
plee-the-bear.csv,0.75,1.0,0.97,0.75,0.64,0.56,0.53,0.55,0.88,0.51,0.95,0.53,0.53
reaper-ecad.csv,0.49,0.86,0.46,0.95,0.57,0.55,0.52,0.8,0.77,0.49,0.52,0.46,0.54
unimrcp.csv,0.49,0.94,0.98,0.96,0.54,0.98,0.67,0.62,0.75,0.75,0.57,0.75,0.91
unladen-swallow.csv,0.98,1.0,0.62,0.85,0.78,0.7,0.54,0.67,0.81,0.47,0.76,0.67,0.67
xmoto.csv,0.4,0.44,0.5,0.66,0.52,0.41,0.62,0.45,0.53,0.37,0.46,0.35,0.55
