,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,14.0,17.0,8.0,37.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0
grafx2.csv,5.0,19.0,78.0,11.0,0.0,12.0,4.0,5.0,0.0,1.0,2.0,5.0,1.0
jahshakafx.csv,0.0,6.0,56.0,26.0,1.0,14.0,4.0,5.0,2.0,0.0,2.0,13.0,1.0
kftpgrabber.csv,38.0,52.0,27.0,14.0,0.0,3.0,2.0,11.0,1.0,0.0,0.0,6.0,0.0
kindb.csv,1.0,12.0,70.0,1.0,3.0,14.0,1.0,3.0,2.0,0.0,2.0,10.0,1.0
maya-work-in-progress.csv,81.0,3.0,59.0,4.0,0.0,6.0,0.0,9.0,1.0,4.0,16.0,1.0,1.0
netatalk.csv,0.0,7.0,23.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,2.0,0.0,1.0
nullc.csv,106.0,3.0,58.0,80.0,0.0,4.0,0.0,11.0,2.0,2.0,23.0,7.0,1.0
plee-the-bear.csv,95.0,1.0,0.0,1.0,0.0,7.0,0.0,14.0,1.0,2.0,7.0,1.0,0.0
reaper-ecad.csv,3.0,25.0,55.0,0.0,1.0,6.0,0.0,10.0,2.0,1.0,18.0,1.0,0.0
unimrcp.csv,2.0,3.0,25.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
unladen-swallow.csv,3.0,0.0,54.0,11.0,1.0,6.0,0.0,10.0,3.0,1.0,16.0,1.0,0.0
xmoto.csv,9.0,46.0,92.0,9.0,0.0,0.0,10.0,16.0,2.0,2.0,3.0,4.0,0.0
