,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.27,0.19,0.16,0.33,0.09,0.0,0.0,0.15,0.0,0.06,0.19,0.08,0.02
grafx2.csv,0.33,0.46,0.42,0.39,0.18,0.23,0.23,0.27,0.03,0.25,0.24,0.24,0.27
jahshakafx.csv,0.0,0.18,0.17,0.17,0.09,0.21,0.09,0.15,0.34,0.06,0.11,0.47,0.09
kftpgrabber.csv,0.34,0.25,0.19,0.17,0.18,0.23,0.04,0.3,0.13,0.06,0.0,0.26,0.07
kindb.csv,0.34,0.46,0.42,0.38,0.45,0.45,0.13,0.42,0.21,0.0,0.39,0.37,0.23
maya-work-in-progress.csv,0.81,0.38,0.52,0.4,0.91,0.67,0.0,0.68,0.87,0.38,0.65,0.76,0.57
netatalk.csv,0.21,0.26,0.17,0.21,0.18,0.25,0.04,0.14,0.37,0.19,0.15,0.0,0.25
nullc.csv,0.92,1.0,0.96,1.0,0.09,0.69,0.85,0.86,0.47,0.75,0.94,1.0,0.8
plee-the-bear.csv,0.62,0.28,0.0,0.02,0.82,0.58,0.66,0.73,0.21,0.81,0.24,0.66,0.7
reaper-ecad.csv,0.34,0.25,0.76,0.0,1.0,0.58,0.77,0.49,0.53,0.69,0.73,0.68,0.66
unimrcp.csv,0.15,0.1,0.08,0.11,0.09,0.06,0.04,0.03,0.05,0.0,0.13,0.03,0.09
unladen-swallow.csv,0.1,0.03,0.57,0.19,0.73,0.48,0.85,0.59,0.47,0.62,0.5,0.61,0.66
xmoto.csv,0.29,0.38,0.44,0.27,0.64,0.49,0.3,0.65,0.74,0.31,0.35,0.42,0.0
