,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.98,0.73,0.67,0.63,0.46,0.41,0.65,1.0,0.83,0.94,0.02
fceugc.csv,0.92,0.65,0.73,0.0,0.68,0.63,0.57,1.03,0.72,0.92,0.79
flexpay.csv,0.83,0.79,0.11,0.8,1.03,0.98,0.94,0.76,0.86,0.93,0.89
jstock.csv,1.0,0.86,0.89,1.0,0.94,0.87,0.95,0.02,0.92,1.0,1.0
keyczar.csv,0.91,0.79,0.89,0.92,0.98,0.98,0.95,0.77,0.96,0.07,0.97
modellus.csv,0.85,0.44,0.65,0.52,0.56,0.06,0.71,0.52,0.74,0.92,0.93
open-data-kit.csv,0.77,0.55,0.73,0.69,0.69,0.62,0.03,0.45,0.85,0.61,0.47
phet.csv,0.07,0.95,0.82,0.91,1.09,0.95,0.95,1.0,0.84,0.93,0.78
qtractor.csv,0.91,0.07,0.6,0.81,0.56,0.59,0.66,0.62,0.8,0.96,0.75
sumatrapdf.csv,0.86,0.64,0.69,0.57,0.0,0.39,0.58,0.56,0.52,0.91,0.45
synergyspace.csv,0.89,0.9,0.88,1.0,0.78,0.74,0.89,1.01,0.12,0.94,1.0
