,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.09,0.33,0.48,0.43,0.6,0.67,0.45,0.0,0.27,0.07,0.98
fceugc.csv,0.16,0.41,0.35,1.0,0.37,0.42,0.48,0.0,0.35,0.1,0.26
flexpay.csv,0.48,0.54,0.91,0.4,0.3,0.2,0.26,0.57,0.18,0.27,0.4
jstock.csv,0.0,0.17,0.13,0.0,0.07,0.16,0.06,1.0,0.1,0.0,0.0
keyczar.csv,0.12,0.33,0.15,0.17,0.28,0.1,0.09,0.35,0.05,0.99,0.06
modellus.csv,0.25,0.66,0.5,0.63,0.55,0.95,0.34,0.57,0.35,0.1,0.09
open-data-kit.csv,0.45,0.57,0.51,0.49,0.37,0.62,0.98,0.65,0.22,0.45,0.67
phet.csv,0.94,0.28,0.31,0.33,0.26,0.34,0.33,0.09,0.47,0.27,0.57
qtractor.csv,0.22,0.94,0.5,0.23,0.5,0.48,0.39,0.43,0.27,0.05,0.33
sumatrapdf.csv,0.37,0.58,0.6,0.64,1.0,0.69,0.55,0.51,0.73,0.12,0.64
synergyspace.csv,0.16,0.13,0.15,0.0,0.27,0.31,0.16,0.0,0.9,0.07,0.0
