,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.88,0.57,0.78,0.35,0.77,0.47,0.21,0.37,0.36,0.05
chaosrts.csv,0.79,0.36,1.0,0.59,0.2,0.33,0.46,0.15,1.0,0.26
lazarus-ccr.csv,0.71,0.21,1.0,0.85,0.54,0.58,0.4,0.61,0.93,0.68
linuxsh.csv,0.71,0.61,0.29,0.07,0.57,0.23,0.06,0.02,0.15,0.05
migen.csv,0.5,0.54,0.62,0.27,0.29,0.33,0.06,0.12,0.45,0.63
moviesandbox.csv,0.5,0.5,0.24,0.3,0.4,0.28,0.08,0.05,0.31,0.58
sauerbraten.csv,0.38,0.75,0.98,0.83,0.8,0.88,0.81,0.83,0.78,0.95
scite-ru.csv,0.79,0.96,0.6,0.72,0.77,0.84,0.27,0.8,0.55,1.0
vrjuggler.csv,0.04,0.11,0.0,0.01,0.09,0.09,0.12,0.39,0.04,0.32
xuggle.csv,0.42,0.54,0.58,0.2,0.57,0.44,0.38,0.44,0.55,0.47
