,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,jmoney.csv
dxengine.csv,,0.68,0.82,0.56,0.79,0.57,0.86,0.4,0.0,0.58,0.71,0.47
freedom-erp.csv,0.0,0.94,1.0,0.78,0.0,1.0,,0.4,0.0,0.42,0.67,0.81
haggle.csv,0.39,0.71,,0.62,0.82,0.42,0.25,0.33,0.0,0.63,0.8,0.28
javaprofiler.csv,0.37,0.75,0.67,0.59,0.75,0.49,0.58,0.25,0.03,0.61,,0.35
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
jmoney.csv,0.51,0.9,0.74,0.59,0.75,0.8,0.69,0.3,0.0,0.83,0.85,
jsidplay2.csv,0.31,,0.56,0.58,0.83,0.69,0.61,0.14,0.0,0.38,0.6,0.42
madman.csv,0.0,0.6,1.0,0.36,0.83,0.67,0.0,,0.0,0.67,0.85,0.4
matrex.csv,0.5,0.84,0.88,0.73,0.75,,0.69,0.26,0.0,0.67,0.76,0.61
mediate.csv,0.4,0.71,0.73,,0.73,0.42,0.69,0.24,0.03,0.56,0.74,0.35
primefaces.csv,0.36,0.8,0.64,0.57,0.72,0.64,0.45,0.15,0.04,,0.72,0.4
tmva.csv,0.35,0.76,0.65,0.57,,0.49,0.58,0.18,0.0,0.61,0.67,0.39
