,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.57,0.6,0.56,0.66,0.78,0.95,0.95,0.46,0.71,0.69,0.65
crisscross.csv,0.5,0.42,0.57,0.44,0.38,0.48,0.45,0.88,0.36,0.56,0.35
cubefs.csv,0.99,0.42,0.45,0.47,0.45,0.59,0.5,0.49,0.41,0.56,0.45
gisgraphy.csv,0.99,0.0,0.83,0.99,0.5,0.67,0.86,0.42,0.88,0.9,0.71
iaml.csv,0.98,0.89,0.69,0.97,0.94,0.51,0.57,0.83,0.62,0.74,0.42
ivataopenportal.csv,0.46,0.42,0.47,0.41,0.35,0.53,0.41,0.41,0.34,0.56,0.31
mb-unit.csv,0.5,0.88,0.63,0.46,0.38,0.41,0.44,0.95,0.33,0.56,0.32
mvdsv.csv,0.95,0.65,0.0,0.98,0.9,0.5,0.95,0.91,0.86,0.5,0.88
nova.csv,0.66,0.53,0.62,0.52,0.56,0.76,0.48,0.45,0.69,0.63,0.41
openwbem.csv,0.45,0.8,0.76,0.6,0.48,0.53,0.84,0.48,0.52,0.45,0.41
xcmetadataservicestoolkit.csv,0.8,0.43,0.58,0.61,0.45,0.5,0.43,0.95,0.41,0.56,0.34
