,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.54,0.57,0.61,0.3,0.0,0.12,0.41,0.49,0.34,0.92,0.45
crisscross.csv,0.09,0.0,0.68,0.37,0.0,0.56,0.51,0.12,0.0,0.0,0.4
cubefs.csv,0.22,0.0,0.0,0.63,0.32,0.56,0.58,0.7,0.64,0.0,0.26
gisgraphy.csv,0.19,0.0,0.0,0.15,0.0,0.01,0.05,0.4,0.18,0.0,0.75
iaml.csv,0.09,0.18,0.49,0.06,0.37,0.42,0.66,0.07,0.44,0.24,0.54
ivataopenportal.csv,0.63,0.0,0.56,0.35,0.36,0.72,0.33,0.0,0.4,0.0,0.3
mb-unit.csv,0.27,0.35,0.55,0.67,0.0,0.3,0.51,0.32,0.61,0.05,0.32
mvdsv.csv,0.05,0.27,0.0,0.11,0.99,0.01,0.1,0.11,0.22,0.0,0.32
nova.csv,0.38,0.78,0.56,0.41,0.0,0.27,0.52,0.53,0.36,0.39,0.42
openwbem.csv,0.6,0.18,0.37,0.51,0.68,0.49,0.25,0.52,0.55,0.51,0.65
xcmetadataservicestoolkit.csv,0.47,0.0,0.42,0.55,0.67,0.53,0.36,0.27,0.78,0.0,0.26
