,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.69,0.18,0.31,0.17,0.58,0.46,0.14,0.25,0.44,0.08,0.19,0.85,0.77,0.07,0.51,0.68,0.39
arm-webradio.csv,0.7,0.26,0.38,0.16,0.65,0.44,0.67,0.75,0.49,0.07,0.11,0.88,0.57,0.04,0.59,0.74,0.67
bwapi.csv,0.62,0.12,0.12,0.1,0.52,0.39,0.29,0.07,0.4,0.11,0.21,0.83,0.58,0.05,0.72,0.92,0.18
co-ode-owl-plugins.csv,0.61,0.26,0.27,0.14,0.67,0.45,0.67,0.59,0.44,0.09,0.2,0.89,0.46,0.04,0.62,0.76,0.68
firebreath.csv,0.88,0.17,0.15,0.15,0.68,0.54,0.46,0.05,0.44,0.15,0.06,0.89,0.63,0.18,0.83,0.7,0.23
frogatto.csv,0.83,0.19,0.16,0.2,0.64,0.49,0.35,0.1,0.53,0.24,0.23,0.88,0.65,0.05,0.78,0.57,0.28
gretl.csv,0.73,0.19,0.2,0.22,0.55,0.39,0.29,0.23,0.43,0.11,0.17,0.91,0.64,0.09,0.52,0.79,0.43
jasperreports.csv,0.61,0.1,0.12,0.09,0.46,0.4,0.28,0.06,0.18,0.17,0.23,0.84,0.65,0.29,0.36,0.94,0.01
konversation.csv,0.8,0.25,0.36,0.24,0.84,0.57,0.2,0.36,0.27,0.12,0.16,0.92,0.56,0.15,0.78,0.85,0.31
linuxsh.csv,0.74,0.33,0.3,0.3,0.6,0.47,0.0,0.34,0.43,0.1,0.0,0.93,0.61,0.02,0.65,0.73,0.75
moviesandbox.csv,0.66,0.28,0.19,0.17,0.72,0.41,0.2,0.38,0.64,0.11,0.33,0.88,0.66,0.06,0.68,0.67,0.37
ontomorphtab.csv,0.86,0.17,0.13,0.15,0.61,0.43,0.32,0.07,0.4,0.13,0.16,0.88,0.62,0.15,0.53,0.74,0.25
opengs.csv,1.0,0.24,0.38,0.27,0.65,0.46,0.6,1.0,0.66,0.17,0.0,0.92,0.6,0.07,0.76,0.89,1.0
scite-ru.csv,0.65,0.24,0.15,0.13,0.6,0.41,0.4,0.18,0.52,0.12,0.22,0.91,0.58,0.05,0.59,0.79,0.31
tokratan.csv,0.81,0.25,0.33,0.27,0.64,0.5,1.0,1.0,0.89,0.26,0.12,0.9,0.61,0.06,1.0,0.94,0.22
vrjuggler.csv,0.64,0.0,0.3,0.25,0.65,0.5,0.4,0.33,0.55,0.11,0.33,0.75,0.75,0.02,0.62,0.71,1.0
xuggle.csv,0.78,0.18,0.22,0.32,0.62,0.45,0.39,0.1,0.59,0.21,0.12,0.89,0.65,0.05,0.66,0.79,0.31
