,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.24,0.45,0.08,0.27,0.12,0.69,0.46,0.29,0.44,0.1,0.14,0.48,0.45,0.29,0.12,0.97
aztec.csv,0.05,0.75,0.14,0.24,0.3,0.08,0.0,0.0,0.0,0.91,0.41,0.33,0.29,0.32,0.75,0.42
bl-toolkit.csv,0.67,0.67,0.31,0.26,0.3,0.99,0.58,0.27,0.45,0.16,0.66,0.5,0.6,0.33,0.61,0.19
co-ode-owl-plugins.csv,0.05,0.09,0.0,0.42,0.97,0.11,0.29,0.07,0.23,0.0,0.22,0.0,0.24,0.16,0.06,0.29
gbif-indexingtoolkit.csv,0.88,0.24,0.24,1.0,0.14,0.27,0.38,0.09,0.17,0.18,0.57,0.45,0.3,0.25,0.41,0.41
gnukeda.csv,0.66,0.58,0.41,0.3,0.13,0.65,1.0,0.28,0.53,0.08,0.69,0.43,0.71,0.34,0.62,0.41
motu.csv,0.73,0.13,0.13,0.2,0.08,0.38,0.0,0.0,0.05,0.25,0.18,1.0,0.05,0.2,0.05,0.1
oscarmcmaster.csv,0.13,0.13,0.0,0.1,0.08,0.42,0.1,0.0,0.05,0.0,0.21,0.1,0.1,0.98,0.12,0.72
pamguard.csv,0.79,0.5,0.31,0.38,0.17,0.72,0.54,0.14,0.31,0.28,0.99,0.29,0.36,0.37,0.44,0.42
prelude.csv,0.99,0.73,0.48,0.29,0.29,0.77,0.62,0.26,0.64,0.14,0.73,0.31,0.78,0.33,0.79,0.43
qdvdauthor.csv,0.32,0.26,0.38,0.0,0.25,0.46,0.51,0.27,0.6,0.13,0.62,0.0,0.99,0.21,0.16,0.38
qlc.csv,0.23,0.0,0.33,0.0,0.0,0.31,0.45,0.94,0.05,0.03,0.31,0.11,0.41,0.17,0.05,0.0
scite-ru.csv,0.0,0.72,0.89,0.29,0.45,0.82,0.7,0.26,0.67,0.06,0.73,0.34,0.76,0.4,0.56,0.42
tencompetence.csv,0.47,0.42,0.25,0.16,0.07,0.33,0.28,0.15,0.45,0.0,0.42,0.12,0.42,0.25,1.0,0.14
trackit.csv,0.13,0.96,0.37,0.19,0.45,0.62,0.51,0.27,0.61,0.38,0.5,0.44,0.55,0.38,0.2,0.55
yaprm.csv,0.13,0.19,0.39,0.24,0.12,0.27,0.45,0.18,0.99,0.09,0.54,0.25,0.43,0.24,0.43,0.45
