,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.17,0.36,0.06,0.47,0.13,0.59,0.4,0.58,0.42,0.15,0.1,0.75,0.36,0.4,0.1,0.95
aztec.csv,0.02,0.48,0.12,0.44,0.54,0.05,0.0,0.0,0.0,0.86,0.35,0.26,0.21,0.55,0.48,0.36
bl-toolkit.csv,0.56,0.6,0.41,0.51,0.52,0.99,0.53,0.64,0.45,0.33,0.5,0.74,0.52,0.52,0.54,0.26
co-ode-owl-plugins.csv,0.02,0.06,0.0,0.41,0.95,0.07,0.21,0.07,0.17,0.0,0.17,0.0,0.18,0.16,0.04,0.24
gbif-indexingtoolkit.csv,0.0,0.18,0.28,1.0,0.2,0.19,0.32,0.2,0.13,0.46,0.5,0.73,0.23,0.38,0.33,0.09
gnukeda.csv,0.55,0.5,0.55,0.57,0.3,0.57,1.0,0.59,0.53,0.32,0.31,0.69,0.58,0.58,0.46,0.6
motu.csv,0.64,0.09,0.12,0.21,0.07,0.3,0.0,0.0,0.04,0.2,0.12,1.0,0.02,0.18,0.02,0.07
oscarmcmaster.csv,0.09,0.09,0.0,0.11,0.07,0.34,0.06,0.0,0.04,0.0,0.15,0.1,0.06,0.97,0.09,0.83
pamguard.csv,0.47,0.44,0.41,0.68,0.39,0.6,0.49,0.31,0.27,0.71,0.98,0.5,0.29,0.62,0.38,0.05
prelude.csv,0.98,0.6,0.5,0.54,0.33,0.2,0.5,0.58,0.13,0.27,0.24,0.54,0.54,0.37,0.69,0.21
qdvdauthor.csv,0.23,0.2,0.52,0.0,0.26,0.39,0.47,0.64,0.62,0.54,0.56,0.0,0.99,0.2,0.11,0.34
qlc.csv,0.16,0.0,0.45,0.0,0.0,0.25,0.41,0.91,0.04,0.05,0.24,0.1,0.34,0.18,0.02,0.0
scite-ru.csv,0.0,0.64,0.94,0.09,0.78,0.21,0.13,0.57,0.5,0.27,0.32,0.53,0.37,0.67,0.47,0.0
tencompetence.csv,0.37,0.37,0.17,0.21,0.13,0.24,0.21,0.4,0.46,0.0,0.35,0.1,0.34,0.3,1.0,0.17
trackit.csv,0.09,0.94,0.34,0.31,0.68,0.54,0.43,0.57,0.6,0.76,0.44,0.63,0.46,0.49,0.13,0.54
yaprm.csv,0.09,0.14,0.54,0.31,0.25,0.21,0.41,0.36,0.98,0.32,0.48,0.27,0.34,0.37,0.37,0.42
