,openwbem.csv,x-ray-mule.csv,cleartk.csv,log4net.csv,opensim4opencog.csv,ofbiz.csv,ibatisdb.csv,power-architect.csv
cleartk.csv,0.46,0.33,0.92,0.05,0.23,0.66,0.23,0.88
ibatisdb.csv,0.41,0.38,0.41,0.07,0.18,0.18,0.72,0.49
log4net.csv,0.29,0.41,0.26,0.27,0.2,0.21,0.16,0.38
ofbiz.csv,0.49,0.8,0.74,0.06,0.24,0.78,0.37,0.69
opensim4opencog.csv,0.51,0.42,0.55,0.06,0.32,0.62,0.24,0.59
openwbem.csv,0.56,0.35,0.58,0.04,0.25,0.52,0.33,0.57
power-architect.csv,0.5,0.73,0.87,0.05,0.23,0.6,0.45,0.89
x-ray-mule.csv,0.26,0.85,0.5,0.0,0.13,0.67,0.03,0.19
