,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.57,0.96,0.6,0.62,0.56,0.45,0.38,0.65,0.94,0.44,0.5,0.63,0.7,0.77
carabiner.csv,0.6,0.04,0.54,0.53,0.42,0.92,0.47,0.41,0.59,0.25,0.38,0.2,0.43,0.06
elvishrayrenderer.csv,0.68,0.52,0.57,0.6,0.53,0.31,0.61,0.53,0.57,0.41,0.52,0.55,1.0,0.36
fleet-simulator.csv,0.0,0.0,0.0,0.36,0.42,0.58,0.0,0.0,1.0,0.0,0.55,0.0,0.0,0.0
gmerlin.csv,0.52,0.49,0.33,0.36,0.61,0.31,0.27,0.95,0.36,0.46,0.61,0.38,0.42,0.35
gnome-jabber.csv,0.63,0.54,0.52,0.65,0.66,0.6,0.88,0.59,0.78,0.48,0.27,0.68,0.35,0.48
ipfilter.csv,0.68,0.31,0.53,0.54,0.65,0.63,0.0,0.4,0.76,1.0,0.5,0.6,0.36,0.6
irplus.csv,0.35,0.16,0.17,0.97,0.42,0.11,0.41,0.45,0.25,0.45,0.59,0.33,0.3,0.13
mevenide.csv,0.3,0.04,0.24,0.32,0.44,0.11,0.04,0.32,0.59,0.11,1.0,0.33,0.33,0.0
moving-pictures.csv,0.43,0.34,0.97,0.61,0.45,0.35,0.1,0.39,0.18,0.36,0.58,0.45,0.43,0.61
opensim4opencog.csv,0.97,0.04,0.17,0.54,0.21,0.17,0.5,0.15,0.07,0.56,0.43,0.39,0.0,0.13
rockbox.csv,0.3,0.37,0.36,0.34,0.23,0.4,0.33,0.42,0.54,0.52,0.35,0.53,0.28,1.0
ta3d.csv,0.63,0.53,0.55,0.54,0.44,0.56,0.05,0.52,0.76,0.67,0.35,1.0,0.53,0.76
xcmetadataservicestoolkit.csv,0.5,0.12,0.61,0.59,1.0,0.36,0.72,0.46,0.71,0.2,0.31,0.64,0.48,0.06
