,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.74,0.05,0.73,0.63,0.74,0.66,0.77,0.63,0.07,0.86,0.65,0.53,0.58,0.38
carabiner.csv,0.72,0.97,0.78,0.77,0.68,0.09,0.68,0.72,0.46,0.84,0.72,0.85,0.64,0.95
elvishrayrenderer.csv,0.59,0.6,0.72,0.56,0.7,0.75,0.56,0.8,0.64,0.68,0.69,0.66,0.0,0.71
fleet-simulator.csv,1.0,1.0,1.0,0.9,0.87,0.77,1.0,1.0,0.0,1.0,0.78,1.0,1.0,1.0
gmerlin.csv,0.58,0.58,0.73,0.76,0.67,0.74,0.8,0.06,0.7,0.65,0.66,0.7,0.66,0.78
gnome-jabber.csv,0.68,0.79,0.75,0.64,0.64,0.77,0.4,0.7,0.27,0.84,0.93,0.56,0.92,0.85
ipfilter.csv,0.6,0.87,0.8,0.78,0.68,0.53,1.01,0.82,0.29,0.0,0.82,0.69,0.9,0.62
irplus.csv,0.7,0.87,0.89,0.04,0.66,0.98,0.66,0.66,1.09,0.64,0.58,0.76,0.74,0.89
mevenide.csv,0.75,0.97,0.89,0.79,0.66,0.91,0.97,0.8,0.48,0.91,0.0,0.73,0.73,1.0
moving-pictures.csv,0.69,0.96,0.04,0.53,0.77,0.79,0.92,0.88,1.18,0.87,0.61,0.87,0.77,0.65
opensim4opencog.csv,0.04,0.97,0.86,0.59,0.95,0.87,0.83,0.88,0.94,0.52,0.74,0.8,1.04,0.9
rockbox.csv,0.78,0.7,0.74,0.87,0.96,0.72,0.73,0.7,0.52,0.56,0.75,0.55,0.78,0.0
ta3d.csv,0.62,0.8,0.74,0.73,0.87,0.79,0.96,0.72,0.29,0.62,0.9,0.0,0.8,0.54
xcmetadataservicestoolkit.csv,0.82,0.9,0.66,0.65,0.0,0.74,0.47,0.73,0.39,0.96,0.84,0.59,0.62,0.97
