,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.13,0.6,0.48,0.97,0.4,0.08,0.2,0.14,0.42,0.46,0.2,0.62
autowikibrowser.csv,0.26,0.63,0.66,0.46,0.76,0.15,0.4,0.17,0.53,0.98,0.44,0.83
cities3d.csv,0.12,0.47,0.61,0.3,0.32,1.0,0.17,0.2,0.36,0.71,0.29,0.5
firebird.csv,0.14,0.69,0.96,0.48,0.52,0.12,0.2,0.19,0.34,0.46,0.47,0.68
hydrogen.csv,0.33,0.78,0.65,0.51,0.53,0.28,1.0,0.38,0.5,0.58,0.48,0.76
lphant.csv,0.15,0.47,0.55,0.45,0.6,0.15,0.14,0.23,1.0,0.51,0.27,0.64
qgo.csv,0.26,1.0,0.63,0.54,0.88,0.09,0.47,0.24,0.46,0.62,0.39,0.79
quickfast.csv,0.13,0.52,0.6,0.4,0.85,0.11,0.15,0.11,0.33,0.52,0.36,1.0
rhex.csv,1.0,0.59,0.5,0.4,0.47,0.16,0.42,0.29,0.2,0.47,0.48,0.71
rocrail.csv,0.25,0.77,0.73,0.56,0.89,0.27,0.43,0.29,1.0,0.81,1.0,0.79
xined.csv,0.14,0.49,0.58,0.33,0.49,0.21,0.19,1.0,0.5,0.5,0.3,0.79
yield.csv,0.15,0.62,0.58,0.41,1.0,0.09,0.18,0.22,0.46,0.53,0.28,0.73
