,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.46,0.48,0.44,0.64,0.56,0.39,0.66,0.52,0.4,0.4,0.49,0.42
autowikibrowser.csv,0.56,0.41,0.41,0.41,0.56,0.49,0.52,0.5,0.47,0.45,0.35,0.4
cities3d.csv,0.88,0.38,0.76,0.61,0.87,0.97,0.67,0.85,0.91,0.94,0.95,0.86
firebird.csv,0.6,0.52,0.49,0.51,0.55,0.43,0.57,0.36,0.46,0.44,0.47,0.51
hydrogen.csv,0.67,0.61,0.53,0.7,0.93,0.83,0.8,0.88,0.9,0.69,0.61,0.65
lphant.csv,0.57,0.53,0.48,0.51,0.52,0.54,0.63,0.5,0.52,0.45,0.42,0.41
qgo.csv,0.52,0.43,0.4,0.51,0.62,0.36,0.58,0.4,0.34,0.37,0.35,0.46
quickfast.csv,0.45,0.4,0.4,0.46,0.69,0.44,0.56,0.48,0.42,0.37,0.36,0.38
rhex.csv,0.91,0.38,0.49,0.56,0.72,0.8,0.63,0.86,0.8,0.53,0.61,0.67
rocrail.csv,0.69,0.62,0.56,0.58,0.78,0.77,0.48,0.5,0.78,0.81,0.67,0.79
xined.csv,0.93,0.54,0.98,0.59,0.87,0.98,0.84,0.9,0.88,0.94,0.87,0.93
yield.csv,0.45,0.31,0.34,0.41,0.52,0.32,0.52,0.39,0.35,0.33,0.34,0.31
