,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.83,0.83,0.78,0.92,0.59,0.78,0.5,0.4,0.91,0.86,0.77,0.64
autowikibrowser.csv,0.58,0.57,0.51,0.58,0.41,0.65,0.62,0.3,0.41,0.98,0.86,0.62
cities3d.csv,0.42,0.9,0.36,0.49,0.24,0.92,0.81,0.4,0.18,0.27,0.27,0.3
firebird.csv,0.42,0.67,0.95,0.6,0.51,0.7,0.88,0.8,0.55,0.66,0.82,0.6
hydrogen.csv,0.42,0.47,0.35,0.3,0.13,0.54,0.94,0.3,0.23,0.34,0.5,0.28
lphant.csv,0.58,0.53,0.68,0.59,0.63,0.78,0.75,0.6,0.95,0.64,0.95,0.79
qgo.csv,0.58,1.0,0.54,0.5,0.37,0.68,0.56,0.6,0.73,0.73,0.86,0.47
quickfast.csv,0.67,0.7,0.68,0.55,0.35,0.65,0.44,0.3,0.64,0.93,0.86,0.96
rhex.csv,0.92,0.67,0.59,0.48,0.4,0.41,0.5,0.2,0.05,0.68,0.5,0.32
rocrail.csv,0.33,0.33,0.34,0.38,0.25,0.62,0.62,0.4,0.41,0.3,0.95,0.23
xined.csv,0.17,0.63,0.17,0.55,0.3,0.3,0.44,1.0,0.18,0.2,0.32,0.23
yield.csv,0.75,0.93,0.76,0.77,0.98,0.95,0.69,0.9,0.77,0.91,0.86,0.85
