,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.87,0.51,0.95,0.08,0.92,0.86,0.6,0.84,0.85,0.84,0.89,0.67
autowikibrowser.csv,0.48,0.52,0.57,0.56,0.6,0.48,0.4,0.78,0.64,0.03,0.33,0.43
cities3d.csv,0.73,0.89,0.69,0.82,0.9,0.08,0.68,0.71,0.85,0.73,0.75,0.83
firebird.csv,0.69,0.42,0.06,0.54,0.66,0.56,0.57,0.82,0.83,0.72,0.31,0.57
hydrogen.csv,0.6,0.55,0.68,0.72,0.88,0.48,0.06,0.71,0.79,0.69,0.52,0.73
lphant.csv,0.65,0.69,0.68,0.58,0.54,0.46,0.75,0.61,0.05,0.62,0.71,0.69
qgo.csv,0.48,0.0,0.58,0.56,0.64,0.69,0.45,0.6,0.64,0.46,0.4,0.56
quickfast.csv,0.75,0.62,0.58,0.64,0.65,0.6,0.7,0.9,0.95,0.71,0.45,0.04
rhex.csv,0.08,0.52,0.75,0.66,0.73,0.63,0.51,0.81,0.96,0.71,0.52,0.71
rocrail.csv,0.68,0.67,0.67,0.64,0.75,0.41,0.4,0.64,0.59,0.71,0.05,0.77
xined.csv,0.85,0.68,0.84,0.76,0.76,0.71,0.64,0.0,0.83,0.81,0.71,0.77
yield.csv,0.7,0.49,0.64,0.67,0.02,0.86,0.6,0.75,0.65,0.67,0.62,0.49
