,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.51,0.97,0.43,0.44,0.57,0.57
extprosys.csv,0.95,0.52,0.51,0.49,0.56,0.41
fluidium.csv,0.34,0.35,0.37,1.0,0.27,0.4
haphazard.csv,0.02,0.2,0.18,0.42,0.93,0.14
qcad2.csv,0.02,0.56,0.97,0.55,0.46,0.4
silvertree.csv,0.49,0.48,0.59,0.37,0.27,1.0
