,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.28,0.6,0.73,0.94,0.64,0.81,0.82,1.07
fceugc.csv,0.66,0.63,0.0,0.75,0.7,0.71,0.52,0.8
ftm.csv,0.73,0.58,0.59,0.62,0.57,0.72,0.1,0.83
google-gears.csv,0.81,0.6,0.55,0.6,0.7,0.06,0.68,0.34
jaolt.csv,0.72,0.58,0.61,0.01,0.61,0.67,0.6,0.44
jcache.csv,0.73,0.58,0.59,0.56,0.75,0.63,0.6,0.0
kmess.csv,0.89,0.72,0.68,0.73,0.02,0.73,0.7,0.87
xmemcached.csv,0.63,0.13,0.7,0.61,0.66,0.6,0.73,0.82
