,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.64,0.43,0.76,0.42,0.68,1.0,0.91,0.0,0.29,0.82,0.66,0.0,0.21,0.62,0.41,1.0,0.58
bionote.csv,0.49,0.29,0.9,0.39,0.5,1.0,0.83,0.16,0.5,0.79,0.5,0.31,0.42,0.62,0.48,1.0,0.65
bullet.csv,0.48,0.17,0.57,0.43,0.41,0.88,0.89,0.15,0.29,0.84,0.29,0.23,0.12,0.56,0.37,1.0,0.7
dxengine.csv,0.62,0.15,1.0,0.39,0.58,1.0,0.91,0.15,0.33,0.85,0.6,0.5,0.2,0.5,0.27,1.0,0.68
emono.csv,0.48,0.09,0.67,0.4,0.29,0.82,0.75,0.23,0.26,0.83,0.27,0.18,0.06,0.59,0.42,0.98,0.77
findbugs.csv,0.85,0.22,0.68,0.38,0.44,0.83,0.82,0.17,0.29,0.84,0.15,0.27,0.13,0.83,0.57,0.98,0.78
hazelcast.csv,0.57,0.14,0.63,0.42,0.42,1.0,0.8,0.17,0.31,0.81,0.45,0.24,0.16,0.61,0.35,1.0,0.61
jedit.csv,0.76,0.1,0.62,0.41,0.35,0.85,0.77,0.15,0.25,0.82,0.31,0.19,0.13,0.64,0.38,0.98,0.65
jmonkeyengine.csv,0.42,0.11,0.53,0.38,0.41,0.68,0.74,0.15,0.46,0.81,0.21,0.17,0.17,0.75,0.38,0.97,0.62
kolmafia.csv,0.47,0.13,0.64,0.41,0.42,0.98,0.81,0.16,0.28,0.81,0.31,0.2,0.15,0.76,0.35,1.0,0.68
lamp.csv,0.72,0.24,0.69,0.41,0.46,0.94,0.78,0.16,0.25,0.83,0.46,0.18,0.29,0.55,0.35,1.0,0.66
lcfizvtop.csv,0.55,0.12,0.66,0.47,0.38,1.0,0.9,0.09,0.29,0.8,0.35,0.44,0.18,0.58,0.33,1.0,0.65
onotoa.csv,0.4,0.05,0.57,0.5,0.2,0.84,0.76,0.11,0.26,0.9,0.25,0.11,0.12,0.4,0.4,0.98,0.71
openintents.csv,0.4,0.09,0.59,0.62,0.23,0.92,0.75,0.09,0.28,0.83,0.26,0.15,0.16,0.54,0.34,0.97,0.62
qlc.csv,0.71,0.13,0.89,0.44,0.38,1.0,0.81,0.18,0.33,0.79,0.5,0.25,0.35,0.6,0.39,1.0,0.75
triplea.csv,0.57,0.15,0.8,0.43,0.5,0.9,0.83,0.2,0.35,0.8,0.41,0.23,0.14,0.6,0.44,1.0,0.76
