,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.03,0.3,0.33,0.48,0.06,0.0,0.15,0.19,0.17,0.0,0.26,0.18,0.0,0.06,0.06,0.43,0.06,0.25
fbmanager.csv,0.7,0.41,0.14,0.03,0.29,0.33,0.53,0.3,0.74,0.04,0.48,0.24,0.38,0.37,0.33,0.42,0.36,0.41
freenet.csv,0.62,0.64,0.95,0.71,0.76,0.67,0.01,0.7,0.53,0.81,0.56,0.47,0.56,0.67,0.62,0.71,0.39,0.6
geogebra.csv,0.39,0.11,0.19,0.23,0.82,0.17,0.8,0.13,0.18,0.11,0.78,0.16,0.81,0.0,0.2,0.23,0.84,0.0
google-caja.csv,0.72,0.23,0.67,0.39,0.53,0.33,0.65,0.6,0.8,0.67,0.0,0.5,0.25,0.6,0.36,0.54,0.52,0.54
hibernate.csv,0.2,0.47,0.43,0.26,0.41,0.17,0.19,0.21,0.25,0.15,0.22,0.21,0.06,0.02,0.23,0.08,0.0,0.29
illumination.csv,0.31,0.19,0.76,0.13,0.41,0.33,0.55,0.19,0.31,0.41,0.22,0.13,0.25,0.14,0.08,0.0,0.13,0.48
kindb.csv,0.7,0.3,0.48,0.16,0.59,0.33,0.49,0.63,0.6,0.22,0.22,0.34,0.0,0.53,0.36,0.51,0.38,0.37
officefloor.csv,0.36,0.21,0.05,0.03,0.82,0.0,0.71,0.15,0.0,0.04,0.59,0.26,0.0,0.03,0.06,0.0,0.82,0.17
paintown.csv,0.42,0.0,0.33,0.26,0.29,0.17,0.33,0.23,0.36,0.33,0.19,0.47,0.38,0.43,0.23,0.43,0.39,0.32
poormans.csv,0.37,0.67,0.71,0.61,0.41,0.83,0.37,0.53,0.27,0.44,0.22,0.37,0.0,0.27,0.0,0.52,0.21,0.51
qlc.csv,0.12,0.03,0.1,0.1,0.0,0.0,0.04,0.0,0.03,0.0,0.04,0.08,0.06,0.07,0.04,0.09,0.1,0.07
repositorium.csv,0.32,0.14,0.14,0.16,0.65,0.0,0.32,0.04,0.31,0.07,0.33,0.13,0.0,0.0,0.16,0.0,0.22,0.17
sevenupdate.csv,0.97,0.92,0.76,0.9,0.24,0.0,0.11,0.85,0.96,0.07,0.93,0.97,1.0,1.0,0.98,0.94,0.89,0.81
sqlpower-library.csv,0.57,0.55,0.76,0.61,0.0,0.83,0.71,0.84,0.53,0.67,0.56,0.66,1.0,0.97,0.72,0.82,0.66,0.51
triplea.csv,0.69,0.45,0.0,0.29,0.59,0.17,0.55,0.6,0.57,0.3,0.7,0.76,0.62,0.5,0.72,0.6,0.37,0.36
yarp0.csv,0.46,0.22,0.33,0.32,0.24,0.67,0.42,0.29,0.62,0.19,0.3,0.0,0.25,0.72,0.37,0.34,0.32,0.41
