,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,1.0,0.62,0.63,0.7,0.68,0.84,0.67,0.75,0.48,0.07,0.86,0.77,0.85,1.0,0.8,0.52,0.83,0.65
fbmanager.csv,1.22,0.56,0.67,0.04,0.44,0.59,0.6,0.54,0.79,0.52,0.63,0.55,0.51,0.66,0.42,0.51,0.59,0.51
freenet.csv,0.62,0.86,0.98,0.76,0.8,0.74,0.01,0.86,0.54,0.86,0.6,0.64,0.68,0.77,0.67,0.79,0.61,0.67
geogebra.csv,0.39,0.9,0.59,0.85,0.83,0.79,0.83,0.9,0.63,0.71,0.83,0.83,0.9,1.0,0.54,0.8,0.85,0.1
google-caja.csv,0.72,0.47,0.78,0.43,0.56,0.47,0.71,0.62,0.82,0.67,0.0,0.66,0.41,0.63,0.52,0.61,0.62,0.62
hibernate.csv,0.2,0.77,0.68,0.92,0.58,0.73,0.66,0.97,0.63,0.61,0.58,0.9,0.86,0.73,0.55,0.94,0.11,0.52
illumination.csv,1.05,0.89,0.93,0.66,0.61,0.88,0.73,0.91,0.75,0.55,0.8,0.76,0.86,0.56,0.71,0.06,0.88,0.81
kindb.csv,0.7,0.45,0.55,0.36,0.68,0.61,0.58,0.66,0.61,0.5,0.34,0.66,0.03,0.7,0.48,0.73,0.52,0.44
officefloor.csv,1.06,0.86,0.97,0.94,0.86,0.98,0.9,0.79,0.32,1.0,0.83,0.97,1.0,0.91,0.83,1.0,0.89,0.92
paintown.csv,0.42,0.03,0.79,0.54,0.62,0.42,0.57,0.65,0.73,0.75,0.49,0.69,0.48,0.85,0.45,0.68,0.64,0.49
poormans.csv,1.06,0.9,0.84,0.79,0.46,0.95,0.52,0.85,0.43,0.68,0.62,0.73,0.65,0.69,0.0,0.79,0.67,0.64
qlc.csv,1.01,0.84,0.79,0.8,0.8,0.78,0.85,0.06,0.87,0.78,0.86,1.0,0.77,0.82,0.8,1.0,0.81,0.74
repositorium.csv,1.05,0.92,0.79,0.84,0.76,0.92,0.69,1.0,0.73,0.67,0.79,0.7,0.88,0.27,0.64,0.94,0.72,0.69
sevenupdate.csv,0.97,0.92,0.76,0.91,0.84,0.0,0.79,0.86,0.96,0.71,0.94,0.97,1.0,1.0,0.98,0.95,0.9,0.84
sqlpower-library.csv,0.57,0.65,0.78,0.89,0.02,0.96,0.74,0.86,0.64,0.82,0.65,0.76,1.0,1.0,0.75,0.85,0.72,0.63
triplea.csv,0.69,0.54,0.03,0.46,0.71,0.67,0.63,0.61,0.67,0.57,0.74,0.82,0.64,0.74,0.75,0.67,0.63,0.51
yarp0.csv,1.1,0.7,0.6,0.5,0.51,0.89,0.59,0.83,0.72,0.73,0.54,0.0,0.43,0.77,0.77,0.41,0.71,0.65
