,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.72,0.76,0.71,0.62,0.78,0.62,0.95,0.5,0.35,0.76,0.9,0.76,0.75,0.92,1.0,0.61
beast-mcmc.csv,0.34,0.8,0.6,0.67,0.67,0.64,0.85,0.54,0.83,0.89,0.66,0.63,0.62,0.83,0.81,0.77
bigdata.csv,0.7,0.71,0.63,0.62,0.62,0.72,1.0,0.73,0.96,0.63,0.92,0.76,0.46,0.71,0.85,0.68
cuberok.csv,0.55,0.81,0.7,0.7,0.71,0.74,0.36,0.68,0.66,0.82,0.77,0.64,0.66,0.54,0.98,0.57
exist.csv,0.75,0.85,0.7,0.47,0.78,0.91,0.76,0.87,0.91,0.32,0.78,0.91,0.66,0.97,1.0,0.8
icescrum.csv,0.4,0.7,0.69,0.6,0.73,0.56,0.61,0.49,0.54,0.79,0.62,0.6,0.67,1.02,0.81,0.22
jbasic.csv,0.69,0.92,0.66,0.9,0.76,0.78,0.76,0.44,0.93,0.94,0.92,1.0,0.61,0.98,0.91,0.82
jrefactory.csv,0.93,0.48,0.9,0.91,0.86,0.8,0.75,0.88,0.81,0.9,0.7,0.81,0.81,0.9,0.67,0.87
jsecurity.csv,0.68,0.83,0.39,0.86,0.64,0.69,0.87,0.81,0.8,0.57,0.84,0.8,0.85,0.92,0.88,0.8
libopenmetaverse.csv,1.0,0.97,1.0,0.92,0.48,1.0,0.91,1.0,0.74,0.7,1.0,1.01,1.0,1.0,0.84,0.97
mobicents.csv,0.6,0.78,0.54,0.5,0.78,0.45,0.7,0.69,0.52,0.73,0.65,0.64,0.58,0.74,0.65,0.7
opendvr.csv,0.55,0.93,0.42,0.5,1.0,0.55,0.61,0.55,0.63,0.79,0.52,0.93,0.86,0.84,0.38,0.48
power-architect.csv,0.85,0.92,0.69,0.7,0.86,0.87,0.89,0.75,0.99,0.98,0.96,0.23,0.73,0.67,1.0,0.97
sidekar.csv,1.0,1.0,1.0,0.27,1.0,1.0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wheat.csv,0.62,0.89,0.63,0.62,0.78,0.65,0.64,0.82,0.57,0.9,0.41,0.51,0.66,0.87,0.71,0.59
wsmt.csv,0.85,0.93,0.91,0.98,0.89,0.83,0.95,0.87,0.97,0.9,0.86,0.92,0.84,0.28,0.92,1.01
