,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.35,0.45,0.55,0.43,0.57,0.6,0.0,0.39,0.94,0.71,0.55,0.34
ctrlr.csv,0.16,0.0,0.01,0.19,0.24,0.0,0.81,0.11,0.5,0.04,0.12,0.38
dvt.csv,0.73,0.21,0.01,0.64,0.52,0.04,0.76,0.56,0.92,0.54,0.39,0.25
flylinkdc.csv,0.7,0.9,0.84,0.81,0.43,0.54,0.67,0.61,0.02,0.67,0.58,0.5
free-evolution.csv,0.92,0.92,0.93,0.36,0.71,0.42,0.43,0.44,0.99,0.71,0.55,0.62
fw4spl.csv,0.57,0.35,0.3,0.24,0.14,0.56,0.19,0.56,0.1,0.71,0.45,0.38
ipfire-wall.csv,0.38,0.67,0.44,0.17,0.05,0.19,0.19,0.83,0.0,0.08,0.12,0.16
ldview.csv,0.86,0.52,0.56,0.29,0.71,0.54,0.1,0.94,0.67,0.17,0.58,0.59
nuttx.csv,0.49,0.04,0.72,0.1,0.38,0.33,0.1,0.33,0.55,0.58,0.52,0.38
uclmda.csv,0.24,0.0,0.17,0.14,0.33,0.23,0.24,0.17,0.99,0.12,0.18,0.25
vdsf.csv,0.76,0.34,0.7,0.81,0.71,0.21,0.71,1.0,0.49,0.58,0.79,0.62
xcf.csv,0.84,0.65,0.33,0.5,0.57,0.54,0.29,1.0,0.69,0.33,0.36,0.84
