,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.46,0.83,0.43,0.15,0.24,0.22,0.43,0.42,0.37,0.67,0.86,0.48
aubit4gl.csv,0.05,0.5,0.36,0.08,0.7,0.17,0.43,0.11,0.8,0.23,0.57,0.22
liferea.csv,0.75,0.0,0.64,0.77,0.15,0.22,0.18,0.52,0.17,0.1,0.29,0.4
moving-pictures.csv,0.51,0.33,0.64,0.23,0.37,0.22,0.68,0.07,0.26,0.27,0.71,0.7
olex2.csv,0.24,0.33,0.79,0.38,0.72,0.13,0.18,0.78,0.26,0.2,0.29,0.7
opensim4opencog.csv,0.71,0.33,0.79,0.62,0.76,0.61,0.39,0.43,0.35,0.53,0.71,0.68
plearn.csv,0.64,0.33,0.64,0.54,0.59,0.57,0.43,0.56,0.78,0.63,1.0,0.6
psrchive.csv,0.66,0.67,0.93,0.69,0.87,0.52,0.5,0.76,0.74,0.4,0.86,0.57
re2c.csv,0.34,1.0,0.57,0.31,0.22,0.39,0.68,0.34,0.76,0.23,0.0,0.6
rebecca-aiml.csv,0.42,0.83,0.86,0.92,0.91,0.74,0.96,0.61,0.91,0.77,0.71,0.97
wxcode.csv,0.41,0.33,0.29,0.38,0.57,0.57,0.25,0.28,0.17,0.57,1.0,0.27
xfce.csv,0.59,0.5,0.71,0.62,0.78,0.87,0.79,0.66,0.78,0.87,0.57,0.85
