,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.83,0.79,0.91,0.33,0.76,0.56,0.61,0.82,1.0,1.0,0.53,0.93,1.0,0.81,0.56,1.0,0.96,0.7,0.99,0.98
bl-toolkit.csv,0.83,0.75,1.0,0.93,0.76,0.76,0.81,0.37,0.75,1.0,0.98,1.0,0.57,0.58,0.76,0.82,1.0,0.58,1.0,0.89
capcode.csv,0.67,0.55,0.55,0.07,0.29,0.62,0.36,0.38,0.12,0.02,0.28,0.13,0.57,0.15,0.71,0.12,0.02,0.26,0.16,0.21
gebr.csv,0.75,0.78,1.0,0.93,0.67,0.78,0.97,0.97,0.95,0.98,0.69,0.76,1.0,0.9,0.99,1.0,0.99,0.95,0.97,0.98
gpac.csv,0.75,0.85,1.0,1.0,0.38,0.52,0.94,0.78,0.64,0.58,0.87,0.5,0.57,0.75,0.98,1.0,1.0,0.95,0.02,0.64
gretl.csv,0.58,0.72,0.55,0.53,0.52,0.64,0.42,0.49,0.86,0.71,0.59,0.68,1.0,0.66,0.87,0.76,0.27,0.71,0.95,0.83
kindb.csv,0.33,0.36,0.0,0.33,0.38,0.12,0.28,0.58,0.11,0.02,0.01,0.06,0.29,0.36,0.13,0.82,0.03,0.29,0.2,0.78
kowari.csv,0.58,0.37,0.18,0.47,0.86,0.12,0.42,0.7,0.05,0.09,0.19,0.34,0.86,0.64,0.28,0.76,0.18,0.35,0.0,0.41
libtorrent.csv,0.92,0.72,0.91,0.67,0.86,0.54,0.58,0.75,0.88,1.0,0.65,0.82,0.71,0.74,0.87,0.91,0.98,0.82,0.9,0.75
linuxsh.csv,0.08,0.37,0.64,0.4,0.0,0.78,0.47,0.25,0.79,0.71,0.39,0.18,0.14,0.21,0.76,0.09,0.05,0.55,0.52,0.43
lmms.csv,0.75,0.7,0.36,0.53,0.43,0.36,0.47,0.41,0.75,0.77,0.28,0.63,0.71,0.71,0.43,0.82,0.95,0.15,0.47,0.43
lufa-lib.csv,0.42,0.54,0.73,0.87,0.24,0.68,0.92,0.8,0.46,0.28,0.49,0.61,0.29,0.38,0.93,0.29,0.7,0.44,0.35,0.66
mbse.csv,0.25,0.27,0.18,0.47,0.76,0.1,0.36,0.41,0.34,0.66,0.38,0.52,0.57,0.43,0.2,0.62,0.52,0.48,0.43,0.7
mcmc-jags.csv,1.0,0.85,1.0,0.87,0.48,0.98,0.89,0.89,0.95,0.98,0.69,0.79,1.0,0.75,0.84,0.79,0.45,0.77,0.85,0.89
miranda.csv,0.58,0.6,0.18,0.4,0.05,0.08,0.5,0.55,0.11,0.32,0.0,0.17,0.57,0.77,0.08,1.0,0.09,0.41,0.16,0.77
modellus.csv,0.33,0.47,0.73,0.2,0.0,0.58,0.64,0.43,0.61,0.94,0.5,0.56,0.57,0.41,0.77,0.68,0.66,0.71,0.96,0.95
mplayer-ce.csv,0.75,0.75,0.36,0.73,0.76,0.64,0.67,0.78,0.39,0.42,0.44,0.4,0.86,0.72,0.88,0.97,0.39,0.82,0.56,0.6
nicepress.csv,0.33,0.43,0.73,1.0,0.05,0.44,0.75,0.37,0.89,1.0,0.79,0.94,0.43,0.47,0.49,0.85,0.29,0.47,0.97,0.9
sbml.csv,0.75,0.75,1.0,0.73,0.67,0.78,0.78,0.82,0.89,0.94,0.42,0.72,0.86,0.68,0.8,0.97,1.0,0.73,0.82,0.7
scite-ru.csv,1.0,0.86,0.82,0.47,0.43,1.0,0.86,0.8,1.0,1.0,0.83,0.53,1.0,0.81,0.86,0.65,0.58,0.86,1.0,0.96
