,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.15,0.07,0.33,0.3,0.33,0.4,0.35,0.72,0.45,0.76,0.14,0.72,0.7,0.69,0.51,0.1
autat.csv,0.04,0.3,0.06,0.02,0.13,0.16,0.19,0.26,0.36,0.71,0.05,0.55,0.2,0.54,0.22,0.0
biopax.csv,0.67,1.0,0.97,0.98,0.83,0.79,0.85,0.99,1.0,1.0,0.99,1.0,0.0,0.85,1.0,0.93
exl.csv,0.74,0.45,0.45,0.1,0.13,0.67,0.35,0.85,0.28,0.67,0.48,0.69,0.65,0.08,0.32,0.28
fceugc.csv,0.48,0.22,0.3,0.6,0.07,0.26,0.31,0.72,0.72,0.7,0.46,0.83,0.2,0.15,0.56,0.55
fido.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.14,0.12,0.01,0.0,0.05,0.0,0.05,0.28
gretl.csv,0.81,0.74,0.5,0.38,0.47,0.65,0.81,0.66,0.55,0.67,0.46,0.31,0.75,0.69,0.58,0.34
jasperreports.csv,0.96,0.26,0.92,0.98,0.6,0.74,0.77,0.99,0.13,0.17,0.94,0.97,0.5,0.38,0.61,1.0
jmule.csv,0.11,0.85,0.23,0.55,0.23,0.42,0.42,0.46,0.33,0.69,0.45,0.52,0.2,0.62,0.27,0.14
moast.csv,0.33,1.0,0.28,1.0,1.0,0.02,1.0,0.38,0.5,0.99,0.25,0.03,0.6,0.31,0.95,0.38
ng4j.csv,0.0,0.29,0.4,0.2,0.3,0.09,0.19,0.18,0.38,0.29,0.17,0.59,0.0,0.23,0.25,0.03
olap-navigator.csv,0.07,0.47,0.11,0.62,0.2,0.23,0.27,0.35,0.22,0.55,0.55,0.79,0.05,0.31,0.46,0.83
passwordsafe.csv,0.07,0.89,0.24,0.28,0.2,0.53,0.42,0.91,0.75,0.4,0.21,0.69,0.15,0.77,0.27,0.0
phonon-vlc-mplayer.csv,0.04,0.87,0.13,0.18,0.27,0.21,0.27,0.31,0.25,0.48,0.28,0.38,0.0,0.38,0.31,0.07
sepgsql.csv,0.04,0.32,0.18,0.28,0.23,0.33,0.15,0.68,0.23,0.66,0.17,0.45,0.2,0.38,0.39,0.0
unflobtactical.csv,0.3,0.21,0.19,0.2,0.13,0.37,0.35,0.62,0.85,0.87,0.33,0.72,0.5,0.54,0.69,0.1
