,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.75,0.64,0.0,0.46,0.49
elmo.csv,0.0,0.07,0.22,0.31,0.22
mscore.csv,0.6,0.43,0.29,0.46,0.0
tolven.csv,0.18,0.03,0.07,0.01,0.02
xbplayer.csv,0.15,0.0,0.07,0.27,0.07
