,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.45,0.49,0.43,0.61,0.67,0.59,0.64,0.53,0.6
gdis.csv,0.95,0.71,0.37,0.68,0.51,0.77,0.78,0.71,0.25
kml.csv,0.45,0.97,0.79,0.57,0.31,0.88,0.88,0.93,0.5
ppcboot.csv,0.83,0.79,0.58,0.5,0.69,0.81,0.69,0.84,0.56
repositorium.csv,0.92,0.98,0.99,0.94,0.92,0.33,0.97,1.04,0.74
rsyslog.csv,0.32,0.84,0.45,0.73,0.67,0.87,0.58,0.56,0.47
ultimairis.csv,0.75,0.93,0.59,0.95,1.0,0.64,0.43,0.8,1.0
wow-qrsk.csv,0.92,0.62,0.29,0.68,0.72,1.0,0.98,0.88,0.88
xbg.csv,0.75,0.98,0.92,0.64,0.84,0.91,0.62,0.3,0.86
