,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0
columba.csv,0.61,0.67,0.1,0.51,0.21,0.28,0.04,0.95,0.2,0.18,0.98,0.23,0.83,0.08
encog-cs.csv,0.48,0.7,0.15,0.98,0.16,0.31,0.04,0.98,0.06,0.09,0.28,0.19,0.66,0.12
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.48,0.61,0.05,0.28,1.0,0.29,0.0,1.0,0.08,0.08,0.28,0.22,0.5,0.0
fluent-nhibernate.csv,0.86,0.0,0.5,1.0,0.36,0.11,0.0,0.75,0.0,1.0,1.0,0.0,0.93,0.0
geochat.csv,0.48,0.62,0.03,0.42,0.12,0.39,0.0,0.93,0.33,0.06,0.28,1.0,0.75,0.13
gpsmid.csv,1.0,0.5,0.15,0.38,0.21,0.38,0.03,0.97,0.14,0.25,0.45,0.31,0.84,0.04
k3d.csv,1.0,0.33,0.97,0.43,0.17,0.0,0.11,0.94,0.0,0.16,0.73,0.0,0.61,0.0
m-a-d-n-e-s-s.csv,0.86,1.0,0.23,0.28,0.2,1.0,0.0,1.0,0.04,0.09,0.52,0.18,0.7,0.11
mob-sen-plat.csv,0.43,1.0,0.19,0.33,0.17,0.29,0.03,0.92,0.06,0.05,0.23,0.21,0.74,0.08
ninject.csv,1.0,0.33,0.21,0.59,0.17,0.33,0.0,1.0,1.0,0.33,0.23,0.5,0.89,0.1
uface.csv,0.65,0.68,0.14,0.45,0.17,0.33,0.05,0.95,0.1,0.12,0.3,0.25,1.0,0.09
v8.csv,0.66,0.65,0.15,0.36,0.18,0.34,0.04,1.0,0.09,0.11,0.3,0.24,0.68,0.1
