,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,1.0
columba.csv,0.63,0.63,0.4,0.36,0.52,0.53,0.51,0.63,0.63,0.51,0.95,0.54,0.55,0.42
encog-cs.csv,0.42,0.65,0.5,0.97,0.26,0.24,0.33,0.46,0.41,0.27,0.29,0.45,0.0,0.71
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.44,0.0,0.04,0.29,0.91,0.51,0.0,0.2,0.43,0.14,0.36,0.4,0.34,0.0
fluent-nhibernate.csv,0.15,0.0,0.12,0.02,0.13,0.05,0.0,0.01,0.0,0.95,0.04,0.0,0.16,0.0
geochat.csv,0.23,0.34,0.04,0.27,0.2,0.48,0.0,0.51,0.24,0.14,0.45,1.0,0.39,0.71
gpsmid.csv,0.95,0.14,0.4,0.54,0.53,0.6,0.29,0.58,0.61,0.8,0.35,0.61,0.49,0.23
k3d.csv,0.02,0.04,0.97,0.06,0.04,0.0,0.75,0.18,0.0,0.33,0.1,0.0,0.21,0.0
m-a-d-n-e-s-s.csv,0.15,0.07,0.24,0.33,0.16,0.93,0.0,0.28,0.23,0.38,0.15,0.09,0.22,0.44
mob-sen-plat.csv,0.33,0.98,0.66,0.28,0.45,0.28,0.49,0.31,0.41,0.32,0.37,0.31,0.62,0.24
ninject.csv,0.17,0.04,0.16,0.24,0.33,0.19,0.0,0.13,1.0,0.74,0.45,0.16,0.18,0.43
uface.csv,0.7,0.65,0.37,0.58,0.55,0.59,0.61,0.57,0.62,0.65,0.55,0.5,1.0,0.55
v8.csv,0.72,0.46,0.4,0.0,0.3,0.63,0.24,1.0,0.38,0.54,0.4,0.17,0.17,0.41
