,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
columba.csv,0.66,0.65,0.62,0.17,0.41,0.72,0.44,0.62,0.22,0.22,0.01,0.69,0.2,0.44
encog-cs.csv,0.79,0.5,0.48,0.01,0.93,0.18,0.91,0.15,0.82,0.93,0.92,0.62,1.0,0.67
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.68,1.0,0.11,0.37,0.0,0.53,0.23,0.0,0.4,0.13,0.89,0.39,0.72,0.1
fluent-nhibernate.csv,0.03,0.0,0.02,0.0,0.04,0.13,0.01,0.08,0.0,0.0,0.0,0.06,0.02,0.06
geochat.csv,0.29,0.3,0.17,0.18,0.25,0.28,0.39,0.62,0.04,0.19,0.83,0.0,0.24,0.52
gpsmid.csv,0.0,0.2,0.36,0.51,0.41,0.42,0.35,0.31,0.33,0.26,0.16,0.44,0.17,0.44
k3d.csv,0.0,0.1,0.01,0.03,0.04,0.05,0.23,0.15,0.0,0.16,0.01,0.03,0.22,0.02
m-a-d-n-e-s-s.csv,0.03,0.0,0.11,0.43,0.11,0.0,0.08,0.0,0.42,0.37,0.04,0.09,0.17,0.31
mob-sen-plat.csv,0.53,0.0,0.52,0.27,0.43,0.25,0.54,0.38,0.56,0.51,0.47,0.31,0.44,0.21
ninject.csv,0.0,0.1,0.09,0.08,0.3,0.13,0.61,0.0,0.0,0.14,0.71,0.04,0.04,0.37
uface.csv,0.58,0.7,0.89,0.4,0.72,0.75,0.76,0.77,0.67,0.58,0.73,0.82,0.0,0.58
v8.csv,0.58,0.85,0.88,1.0,0.92,0.7,0.94,0.0,0.89,0.81,0.88,0.96,0.96,0.88
