,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0,1.0,1.0,0.97,1.0,0.0
columba.csv,0.69,0.68,0.86,0.7,0.64,0.78,0.66,0.66,0.46,0.57,0.06,0.77,0.53,0.75
encog-cs.csv,0.9,0.58,0.7,0.03,0.94,0.82,0.91,0.61,0.91,0.93,0.93,0.82,1.0,0.67
fido.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
flexpay.csv,0.85,1.0,0.97,0.83,0.11,0.72,1.03,0.83,0.72,0.89,0.9,0.74,0.96,1.0
fluent-nhibernate.csv,0.88,1.0,0.9,0.98,0.89,0.97,1.0,0.99,1.0,0.06,0.97,1.0,0.87,1.0
geochat.csv,0.85,0.76,0.98,0.79,0.87,0.63,1.07,0.76,0.8,0.9,0.86,0.0,0.69,0.56
gpsmid.csv,0.06,0.9,0.73,0.67,0.63,0.58,0.83,0.54,0.52,0.31,0.71,0.57,0.59,0.91
k3d.csv,0.98,0.97,0.03,0.96,0.97,1.0,0.34,0.87,1.0,0.72,0.92,1.0,0.85,1.0
m-a-d-n-e-s-s.csv,0.88,0.94,0.81,0.82,0.87,0.08,1.0,0.76,0.9,0.74,0.89,0.94,0.82,0.67
mob-sen-plat.csv,0.87,0.03,0.58,0.8,0.72,0.8,0.74,0.82,0.82,0.87,0.81,0.79,0.57,0.83
ninject.csv,0.86,0.97,0.87,0.81,0.77,0.85,1.17,0.89,0.0,0.33,0.86,0.87,0.85,0.7
uface.csv,0.6,0.71,0.9,0.58,0.77,0.76,0.76,0.77,0.7,0.63,0.77,0.82,0.0,0.7
v8.csv,0.59,0.85,0.88,1.0,0.92,0.71,0.94,0.0,0.89,0.81,0.88,0.96,0.96,0.88
