,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.15,0.03,0.08,0.33,0.12,0.28,0.21,0.56,0.48,0.33
cities3d.csv,0.0,0.69,0.06,0.58,0.07,0.28,0.17,0.0,0.09,0.7
firebird.csv,0.27,0.4,0.3,0.39,0.13,0.6,0.25,0.84,0.82,0.36
hydrogen.csv,0.6,1.0,1.0,1.0,1.0,0.99,0.19,0.05,1.0,1.0
lphant.csv,0.47,0.29,0.37,0.32,0.62,0.25,0.32,0.28,0.18,0.54
open-ms.csv,0.44,0.46,0.66,0.51,0.01,0.56,0.1,0.3,0.06,0.34
qgo.csv,0.8,0.14,0.77,0.45,0.35,0.87,0.35,0.74,0.91,0.78
rhex.csv,0.31,0.6,0.41,0.63,0.34,0.33,0.14,0.14,0.0,0.26
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
yield.csv,0.56,0.6,0.44,0.66,0.19,1.0,0.43,0.74,0.61,0.68
