,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.38,0.52,0.37,0.62,0.63,0.7,0.65,0.69,0.68,0.58
cities3d.csv,0.0,0.59,0.2,0.55,0.17,0.64,0.54,0.0,0.21,0.64
firebird.csv,0.46,0.6,0.59,0.66,0.56,0.69,0.7,0.49,0.47,0.56
hydrogen.csv,0.73,0.0,0.0,0.0,0.0,0.05,0.81,0.0,0.0,0.0
lphant.csv,0.75,0.64,0.53,0.57,0.69,0.67,0.78,0.44,0.7,0.61
open-ms.csv,0.58,0.73,0.64,0.51,0.23,0.54,0.49,0.53,0.27,0.47
qgo.csv,0.53,0.87,0.56,0.69,0.63,0.41,0.73,0.57,0.32,0.55
rhex.csv,0.86,0.65,0.38,0.5,0.37,0.36,0.49,0.24,0.06,0.32
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
yield.csv,0.61,0.68,0.62,0.62,0.73,0.0,0.75,0.6,0.72,0.61
