,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.29,0.62,0.46,0.56,0.69,0.3,0.43,0.38,0.59,0.39
cities3d.csv,0.0,0.6,0.28,0.45,0.23,0.27,0.39,0.0,0.28,0.38
firebird.csv,0.26,0.58,0.62,0.57,0.62,0.2,0.42,0.36,0.52,0.36
hydrogen.csv,0.31,0.63,0.69,0.53,0.65,0.15,0.54,0.0,0.57,0.34
lphant.csv,0.33,0.64,0.55,0.52,0.69,0.3,0.43,0.31,0.7,0.36
open-ms.csv,0.25,0.69,0.67,0.43,0.32,0.15,0.42,0.36,0.34,0.32
qgo.csv,0.25,0.85,0.67,0.58,0.63,0.16,0.38,0.32,0.56,0.36
rhex.csv,0.46,0.62,0.41,0.41,0.39,0.13,0.38,0.22,0.09,0.25
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
yield.csv,0.25,0.66,0.63,0.52,0.74,0.16,0.36,0.35,0.65,0.35
