,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.24,0.92,0.88,0.79,0.57,0.68,0.12,0.68,0.3,0.62,0.2,0.2,0.47,1.0,0.43,0.92,0.84,1.0,1.0,0.05
autofac.csv,0.49,0.81,0.12,0.76,0.27,0.46,0.65,0.7,0.15,0.75,0.5,0.64,0.45,1.0,0.57,0.65,0.42,0.53,0.56,0.75
avisynth2.csv,0.2,0.27,0.16,0.1,0.0,0.01,0.12,0.03,0.1,0.0,0.0,0.23,0.15,1.0,0.0,0.08,0.11,0.47,0.01,0.0
azureus.csv,0.98,1.0,0.52,0.93,0.37,1.0,1.0,0.92,0.7,1.0,0.9,0.71,0.78,1.0,0.86,1.0,0.94,0.94,0.62,0.68
coot.csv,0.82,0.12,0.0,0.21,0.3,0.57,0.94,0.59,0.75,0.88,0.6,0.73,0.43,0.0,0.71,0.15,0.25,0.0,0.59,0.7
dsworkbench.csv,0.25,0.58,0.82,0.24,0.27,0.19,0.12,0.27,0.4,0.12,0.1,0.21,0.17,0.0,0.29,0.54,0.28,0.12,0.28,0.1
forester-atv.csv,0.57,0.85,0.64,0.28,0.02,0.22,0.35,0.08,0.7,0.25,0.2,0.86,0.67,1.0,0.29,0.35,0.32,0.47,0.06,0.05
freelords.csv,0.79,0.96,0.86,0.72,0.62,0.59,0.71,0.65,0.9,0.88,0.8,0.98,0.33,1.0,0.57,0.69,0.86,0.53,0.89,0.9
gabel.csv,0.04,0.69,0.4,0.28,0.32,0.24,0.71,0.41,0.4,0.88,0.5,0.45,0.7,0.33,0.29,0.15,0.4,0.06,0.21,0.22
geotools.csv,0.96,0.81,0.96,0.69,0.95,0.54,0.65,0.54,0.7,0.88,0.5,1.0,1.0,0.67,0.43,0.81,0.6,0.94,0.96,0.85
gephex.csv,0.12,0.31,0.88,0.93,0.85,0.71,0.76,0.84,0.5,0.62,0.3,0.3,0.82,0.0,0.86,1.0,0.78,0.82,0.73,0.9
google-collections.csv,0.82,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.95,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.29,0.54,0.26,0.21,0.0,0.04,0.94,0.19,0.25,0.38,0.3,0.27,0.13,0.67,0.29,0.42,0.38,0.35,0.0,0.0
mycila.csv,0.85,0.35,0.82,0.83,0.87,0.35,0.47,0.35,0.85,0.88,0.7,0.61,0.6,0.33,0.71,0.5,0.55,0.24,0.75,0.52
neodatis-odb.csv,0.84,0.88,0.44,0.66,0.23,0.34,0.65,0.7,0.4,0.88,0.4,0.64,0.33,1.0,0.57,0.27,0.29,0.06,0.59,0.6
octet.csv,0.25,0.58,0.48,0.55,0.28,0.37,0.29,0.46,0.25,0.25,0.2,0.41,0.4,0.67,0.86,0.85,0.46,0.12,0.55,0.57
pokenetonline.csv,0.35,0.92,1.0,0.62,0.78,0.67,0.53,0.76,0.75,0.75,0.7,0.95,0.78,0.67,0.86,0.88,0.86,0.82,0.87,0.9
scenemonitor.csv,0.18,0.42,0.66,0.41,0.37,0.24,0.53,0.41,0.75,0.5,0.5,0.75,0.62,0.0,0.29,0.42,0.36,0.41,0.42,0.18
servicestack.csv,0.01,0.65,0.26,0.31,0.0,0.11,0.06,0.16,0.05,0.0,0.1,0.12,0.25,0.67,0.14,0.19,0.21,0.76,0.0,0.0
twostep.csv,0.01,0.96,0.76,0.76,0.32,0.62,0.76,0.7,0.8,1.0,1.0,0.82,0.85,0.67,0.57,0.81,0.72,0.82,0.63,0.68
