,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.4,0.94,0.46,0.54,0.82,0.78
bullet.csv,0.9,0.79,0.8,0.47,0.79,0.88
openintents.csv,0.96,0.46,0.94,0.7,0.66,0.69
pokenetonline.csv,1.0,0.84,1.0,1.0,0.97,0.23
tktoolkit.csv,1.0,1.0,0.78,0.76,0.58,0.93
zealos.csv,0.4,0.74,0.7,0.51,0.63,0.82
