,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,1.0,12.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,7.0
ivef-sdk.csv,3.0,6.0,0.0,1.0,0.0,7.0,22.0,2.0,0.0,60.0,4.0
jaolt.csv,1.0,3.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0
jmule.csv,1.0,5.0,0.0,5.0,0.0,10.0,0.0,4.0,20.0,3.0,0.0
jstock.csv,3.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,5.0,0.0,2.0
lphant.csv,0.0,1.0,4.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0
novembre.csv,0.0,3.0,0.0,1.0,0.0,10.0,16.0,3.0,6.0,0.0,4.0
oorexx.csv,0.0,54.0,96.0,74.0,1.0,3.0,1.0,77.0,1.0,0.0,2.0
pi-qmc.csv,1.0,5.0,18.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,5.0
qedo.csv,2.0,54.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,1.0,2.0
yaprm.csv,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,65.0,0.0,4.0
