,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.74,0.4,0.77,0.67,0.72,0.53,0.32,0.44,0.13,0.69,0.56
ivef-sdk.csv,0.7,0.51,1.0,0.67,0.51,0.41,0.21,0.58,0.19,0.0,0.18
jaolt.csv,0.71,0.49,0.3,0.53,0.72,0.42,0.32,0.52,0.13,0.58,0.45
jmule.csv,0.6,0.47,0.14,0.48,0.77,0.56,0.54,0.47,0.07,0.58,0.84
jstock.csv,0.56,0.49,0.24,0.6,0.57,0.51,0.65,0.59,0.12,0.73,0.07
lphant.csv,0.73,0.5,0.15,0.62,0.76,0.67,0.4,0.59,0.2,0.59,0.57
novembre.csv,0.4,0.5,0.06,0.44,0.63,0.44,0.28,0.28,0.06,0.22,0.55
oorexx.csv,0.46,0.0,0.0,0.0,0.44,0.33,0.42,0.0,0.17,0.76,0.63
pi-qmc.csv,0.58,0.48,0.14,0.31,0.8,0.58,0.34,0.77,0.09,0.55,0.65
qedo.csv,0.41,0.0,0.09,0.2,0.28,0.2,0.21,0.14,0.35,0.31,0.35
yaprm.csv,0.75,0.5,0.21,0.68,0.25,0.3,0.35,0.56,0.19,0.65,0.55
