,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.72,0.87,0.9,1.0,0.74,0.68,0.77,1.0,0.73,0.89,0.83
ivef-sdk.csv,0.81,0.8,1.0,0.92,0.37,0.36,0.38,0.73,0.73,0.0,0.12
jaolt.csv,0.81,0.67,0.18,0.59,0.66,0.36,0.46,0.64,0.55,0.58,0.38
jmule.csv,0.63,0.73,0.07,0.54,0.77,0.86,0.85,0.64,0.23,0.56,0.88
jstock.csv,0.51,0.8,0.15,0.7,0.48,0.5,0.85,0.59,0.18,0.81,0.04
lphant.csv,0.79,0.73,0.09,0.73,0.74,0.64,0.77,0.59,0.82,0.53,0.62
novembre.csv,0.3,0.6,0.03,0.38,0.52,0.45,0.46,0.18,0.23,0.14,0.58
oorexx.csv,0.37,0.0,0.0,0.0,0.33,0.23,0.38,0.0,0.27,0.75,0.71
pi-qmc.csv,0.51,0.87,0.1,0.24,0.9,0.91,0.54,0.77,0.32,0.5,0.83
qedo.csv,0.3,0.0,0.04,0.11,0.18,0.14,0.31,0.09,0.77,0.22,0.29
yaprm.csv,0.77,0.67,0.12,0.68,0.15,0.18,0.69,0.5,0.68,0.67,0.71
