,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.89,0.47,0.36,0.38
k3b.csv,0.39,0.4,0.35,0.31
mp-rechnungs-und-kundenverwaltung.csv,0.83,0.65,0.53,0.64
thrust.csv,0.71,0.96,0.95,0.95
