,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv
fm-classic.csv,0.18,0.2,0.1,0.02,0.02,0.21
foursquared.csv,0.13,0.09,0.13,0.22,0.0,0.18
ifmo-game-1.csv,0.25,0.08,0.19,0.15,0.22,0.32
micomt.csv,0.75,0.55,0.75,0.96,0.15,0.85
voms.csv,0.34,0.17,0.88,0.26,0.02,0.69
