,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.88,0.65,0.58,0.85,0.79,0.17,0.99,0.81,0.9,0.97,0.96,0.85,0.6
cme.csv,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.01,1.0,0.94,0.02
hydrate.csv,0.55,0.51,0.7,0.73,0.63,1.29,0.82,1.0,0.74,0.76,0.8,0.55,0.6,0.65
ivef-sdk.csv,0.76,0.52,0.65,0.7,0.77,0.0,0.85,0.95,0.8,0.79,1.0,1.09,1.0,0.7
jmri.csv,0.61,0.74,0.47,0.9,0.94,0.43,0.77,0.51,0.64,0.75,0.55,0.75,0.79,0.85
jython.csv,0.9,0.83,0.61,0.9,0.92,0.8,0.97,0.23,0.84,0.71,0.81,1.05,0.9,0.94
kdenlive.csv,0.42,0.67,0.64,0.97,0.61,0.91,0.76,0.99,0.74,0.7,0.69,0.48,0.74,0.62
opentibia.csv,0.65,0.35,0.67,0.79,0.69,0.96,0.86,0.83,1.0,0.98,0.59,0.82,0.73,1.01
projectfactory.csv,0.79,0.8,0.62,0.95,0.68,0.94,0.57,0.17,0.59,0.61,0.52,0.75,0.49,0.63
runuomondains.csv,0.55,0.63,0.58,1.04,0.81,0.99,0.83,0.95,0.46,0.94,0.28,0.61,0.64,0.87
somap.csv,1.0,1.0,0.82,0.85,0.89,1.08,0.83,1.0,1.0,0.81,0.95,0.15,1.0,0.81
taverna.csv,0.76,0.74,0.84,0.89,0.44,0.94,0.6,1.08,0.8,0.65,0.52,0.71,0.85,1.03
unbvision.csv,0.52,0.73,0.61,0.92,0.79,1.0,0.81,0.32,0.33,0.71,0.54,0.8,0.64,0.96
x-ray-mule.csv,0.85,0.86,0.9,0.26,0.7,1.0,1.05,0.95,0.88,0.73,1.0,0.65,0.97,0.61
