,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.72,0.75,0.43,0.3,0.81,0.77,0.09,0.99,0.66,0.02,0.97,0.0,0.79,0.44
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.1,0.0,0.0,0.02
hydrate.csv,0.36,0.17,0.6,0.5,0.45,0.97,0.8,0.99,0.62,0.6,0.8,0.17,0.42,0.65
ivef-sdk.csv,0.74,0.33,0.55,0.7,0.7,0.0,0.63,0.0,0.79,0.77,0.07,1.0,0.0,0.67
jmri.csv,0.1,0.08,0.3,0.25,0.4,0.0,0.6,0.11,0.12,0.21,0.24,0.33,0.21,0.85
jython.csv,0.9,0.75,0.39,0.9,0.89,0.8,0.97,0.15,0.81,0.49,0.8,1.0,0.79,0.94
kdenlive.csv,0.33,0.58,0.38,0.85,0.53,0.77,0.37,0.99,0.74,0.65,0.68,0.33,0.74,0.62
opentibia.csv,0.31,0.25,0.33,0.2,0.45,0.03,0.86,0.14,0.01,0.05,0.31,0.0,0.63,0.17
projectfactory.csv,0.13,0.0,0.41,0.15,0.57,0.03,0.57,0.16,0.26,0.4,0.51,0.33,0.47,0.6
runuomondains.csv,0.21,0.08,0.52,0.7,0.45,0.97,0.71,0.95,0.28,0.91,0.25,0.17,0.42,0.77
somap.csv,1.0,1.0,0.79,0.85,0.89,1.0,0.83,1.0,1.0,0.77,0.95,0.0,1.0,0.81
taverna.csv,0.13,0.08,0.21,0.3,0.32,0.17,0.57,0.88,0.08,0.4,0.14,0.0,0.0,0.23
unbvision.csv,0.23,0.17,0.42,0.45,0.42,0.9,0.57,0.05,0.26,0.35,0.47,0.33,0.0,0.96
x-ray-mule.csv,0.23,0.0,0.15,0.2,0.47,0.0,0.31,0.0,0.79,0.65,0.02,0.17,0.05,0.12
