,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.49,0.54,0.74,0.26,0.78,0.8,0.45,0.67,0.5,0.62
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.83,0.0,0.5,0.83
hydrate.csv,0.4,0.49,0.43,0.42,0.46,0.44,0.45,0.26,0.48,0.49,0.49,0.43,0.48,0.36
ivef-sdk.csv,0.44,0.48,0.6,0.48,0.53,0.61,0.67,0.0,0.47,0.47,0.75,0.55,0.0,0.51
jmri.csv,0.53,0.57,0.56,0.78,0.6,0.82,0.5,0.96,0.81,0.75,0.78,0.58,0.75,0.37
jython.csv,0.43,0.56,0.73,0.46,0.46,0.47,0.42,0.97,0.55,0.65,0.5,0.43,0.5,0.41
kdenlive.csv,0.38,0.42,0.41,0.36,0.38,0.53,0.5,0.26,0.45,0.39,0.38,0.37,0.32,0.35
opentibia.csv,0.57,0.47,0.68,0.91,0.51,0.75,0.43,0.96,0.0,0.67,0.77,0.85,0.42,0.89
projectfactory.csv,0.86,0.82,0.55,0.8,0.45,0.8,0.49,0.93,0.5,0.58,0.43,0.58,0.37,0.46
runuomondains.csv,0.44,0.5,0.46,0.43,0.45,0.46,0.5,0.27,0.51,0.41,0.64,0.48,0.48,0.44
somap.csv,0.42,0.45,0.38,0.43,0.39,0.47,0.47,0.26,0.49,0.42,0.42,0.38,0.37,0.36
taverna.csv,0.83,0.7,0.92,0.55,0.64,0.9,0.6,0.25,0.92,0.61,0.67,0.86,0.8,0.83
unbvision.csv,0.43,0.46,0.43,0.4,0.45,0.46,0.5,0.96,0.52,0.5,0.44,0.59,0.58,0.38
x-ray-mule.csv,0.86,0.92,0.98,0.69,0.71,0.0,0.91,0.0,0.59,0.56,0.0,0.71,0.5,0.88
