,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.54,0.51,0.5,0.74,0.82,0.85,1.0,0.53,0.1,0.88,0.04,0.7,0.6
cme.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,1.0
hydrate.csv,0.58,0.52,0.63,0.47,0.56,0.15,0.82,0.82,0.6,0.54,1.0,0.47,0.58,1.0
ivef-sdk.csv,0.83,0.6,0.66,1.0,0.67,1.0,0.42,0.05,0.87,0.79,0.0,0.57,0.0,0.8
jmri.csv,0.39,0.27,0.64,0.13,0.15,0.57,0.52,0.5,0.37,0.28,0.5,0.33,0.24,1.0
jython.csv,0.96,0.65,0.53,1.0,0.74,0.99,1.0,0.82,0.8,0.49,0.88,0.69,0.58,1.0
kdenlive.csv,0.75,0.66,0.49,0.53,0.7,0.51,0.33,0.95,1.0,0.74,0.88,0.65,0.91,1.0
opentibia.csv,0.42,0.76,0.41,0.23,0.48,0.04,0.91,0.18,0.0,0.03,0.5,0.18,0.64,0.0
projectfactory.csv,0.23,0.2,0.54,0.07,0.63,0.06,0.94,0.95,0.47,0.54,0.88,0.33,0.88,0.8
runuomondains.csv,0.49,0.37,0.76,0.23,0.33,0.81,0.58,0.91,0.63,0.74,0.88,0.42,0.52,0.6
somap.csv,0.94,0.92,0.79,1.0,1.0,0.6,0.94,0.91,1.0,0.74,1.0,0.85,1.0,1.0
taverna.csv,0.25,0.27,0.19,0.17,0.7,0.07,0.82,0.36,0.2,0.49,0.5,0.29,0.15,0.0
unbvision.csv,0.54,0.29,0.56,0.2,0.33,0.57,0.42,0.68,0.8,0.38,0.75,0.28,0.36,1.0
x-ray-mule.csv,0.18,0.14,0.11,0.83,0.48,0.0,0.0,0.05,0.6,0.67,0.0,0.38,0.03,0.4
