,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.44,0.52,0.53,0.47,0.54,0.86,0.05,0.48,0.12,0.13,0.05,0.48,0.59
cme.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.07,1.0
hydrate.csv,0.59,0.56,0.57,0.48,0.56,0.08,0.51,0.05,0.54,0.5,0.56,0.51,0.58,0.73
ivef-sdk.csv,0.58,0.61,0.6,0.68,0.54,1.0,0.41,0.06,0.53,0.53,0.0,0.0,0.0,0.62
jmri.csv,0.44,0.31,0.65,0.16,0.18,0.62,0.49,0.55,0.42,0.32,0.54,0.37,0.28,0.47
jython.csv,0.35,0.49,0.54,0.36,0.34,0.55,0.13,0.83,0.49,0.49,0.52,0.0,0.43,0.24
kdenlive.csv,0.73,0.59,0.51,0.35,0.64,0.41,0.36,0.05,0.64,0.61,0.65,0.65,0.61,0.75
opentibia.csv,0.46,0.76,0.44,0.27,0.49,0.05,0.43,0.21,0.0,0.04,0.53,0.22,0.56,0.0
projectfactory.csv,0.27,0.24,0.55,0.09,0.58,0.07,0.76,0.93,0.51,0.55,0.76,0.37,0.78,0.67
runuomondains.csv,0.53,0.42,0.68,0.24,0.36,0.13,0.48,0.2,0.65,0.3,0.85,0.47,0.53,0.45
somap.csv,0.0,0.0,0.51,0.47,0.38,0.0,0.49,0.0,0.0,0.51,0.21,0.88,0.0,0.54
taverna.csv,0.29,0.31,0.22,0.2,0.7,0.09,0.69,0.26,0.24,0.51,0.55,0.34,0.18,0.0
unbvision.csv,0.57,0.33,0.56,0.23,0.36,0.29,0.42,0.72,0.79,0.41,0.69,0.32,0.41,0.17
x-ray-mule.csv,0.21,0.17,0.13,0.82,0.49,0.0,0.0,0.06,0.44,0.57,0.0,0.43,0.04,0.45
