,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.41,0.54,0.51,0.53,0.78,0.82,0.85,1.0,0.53,0.1,0.88,0.04,0.11
ivef-sdk.csv,0.75,0.45,0.67,1.0,0.52,1.0,0.24,0.05,0.87,0.82,0.0,0.56,0.34
jmri.csv,0.39,0.27,0.67,0.17,0.15,0.57,0.58,0.59,0.43,0.31,0.75,0.36,0.14
jython.csv,0.9,0.58,0.31,0.93,0.48,0.93,0.97,0.82,0.73,0.18,0.88,0.43,0.43
kdenlive.csv,0.7,0.59,0.51,0.47,0.41,0.45,0.33,0.95,0.9,0.54,0.88,0.64,0.46
opentibia.csv,0.45,0.78,0.44,0.43,0.52,0.06,0.88,0.91,0.2,0.08,0.62,0.36,0.91
projectfactory.csv,0.14,0.19,0.5,0.07,0.48,0.09,0.18,1.0,0.63,0.62,0.88,0.26,0.46
runuomondains.csv,0.51,0.37,0.76,0.23,0.3,0.55,0.61,0.82,0.6,0.79,0.88,0.4,0.17
somap.csv,0.92,0.92,0.76,0.97,1.0,0.49,0.85,0.95,0.9,0.74,0.88,0.83,1.0
taverna.csv,0.31,0.25,0.1,0.17,0.74,0.1,0.67,0.27,0.23,0.59,0.38,0.19,0.63
tigermud.csv,0.35,0.4,0.88,0.3,0.52,0.42,0.15,0.45,0.2,0.21,0.5,0.69,0.71
unbvision.csv,0.61,0.33,0.47,0.2,0.22,0.57,0.42,0.73,0.83,0.28,0.88,0.17,0.26
x-ray-mule.csv,0.21,0.18,0.18,0.83,0.56,0.0,0.09,0.05,0.7,0.74,0.0,0.53,0.43
